symbol,tb_id,bo_id,bo_idx,tb_start,tb_end,tb_date,first_bo_idx,burst_count,bo_drought,bo_vol_ratio,burst_first_drought,burst_distinct_pk,burst_max_bar_vol_ratio,burst_peak_age_max,atr,m2_depth_rel,m2_depth_atr,m1_burst_runup,label,fp_up,fp_down,fp_both,fp_none,day_drop
AACG,tb_476_496#0,bo_471#0,471,476,496,2024-10-09 00:00:00,466,2,5.0,1.4792920353982302,140,3,2.7126108092650845,68,0.06323636627014348,0.10869567611717729,1.5813689138092062,0.3235293627816507,0.08229584829327352,0,10,0,11,0.02272725117600642
AACG,tb_680#0,bo_676#0,676,680,680,2025-08-05 00:00:00,669,3,1.0,12.969419924337956,198,10,36.79383429672447,350,0.09991416718982127,0.439130439740273,10.108676465714968,1.0731708079416937,0.8169014096331015,1,0,0,0,0.5135135004518676
AACG,tb_680_682#0,bo_677#0,677,680,682,2025-08-05 00:00:00,669,4,1.0,19.558344529278763,198,11,36.79383429672447,563,0.12706315661008305,0.439130439740273,7.94880292138995,1.7073171316761835,0.6643458926376034,2,0,0,1,0.5135135004518676
AAL,tb_695_698#0,bo_693#0,693,695,698,2025-08-26 00:00:00,690,2,3.0,1.0240198117247854,28,1,1.088953922312565,31,0.4324635315642434,0.05154637799689347,1.6186331521023298,0.02885346334393124,0.05941206968607676,0,4,0,0,0.040590419409066804
AAME,tb_287_305#0,bo_280#0,280,287,305,2024-01-09 00:00:00,277,3,1.0,3.456359102244389,0,2,3.866197183098592,83,0.11107961096617533,0.043137214569712944,0.9666069156002393,0.09452739583156755,0.14217301473169788,0,5,0,14,0.008196744286524569
AAME,tb_287_305#1,bo_281#0,281,287,305,2024-01-09 00:00:00,277,4,1.0,3.588726513569937,0,3,3.866197183098592,138,0.11708956700658384,0.043137214569712944,0.9169930582803497,0.2189055642311568,0.14217301473169788,0,5,0,14,0.008196744286524569
AAME,tb_694_695#0,bo_687#0,687,694,695,2025-08-25 00:00:00,687,1,37.0,11.665195460277427,37,1,11.665195460277427,30,0.15362579117923908,0.10655740321264467,2.538636917086089,0.17551022791356008,0.0708163270151948,0,0,0,2,0.0666666712737889
AAME,tb_694_698#0,bo_688#0,688,694,698,2025-08-25 00:00:00,687,2,1.0,5.206704912154894,37,2,11.665195460277427,359,0.1962239489521506,0.10655740321264467,1.9875255135104672,0.25714280153502633,0.04491360172507415,0,0,0,5,0.0666666712737889
AAMI,tb_416_427#0,bo_414#0,414,416,427,2024-07-16 00:00:00,414,1,56.0,0.530500055322296,56,1,0.530500055322296,111,0.5629116910576384,0.026137222396474806,1.1575870438696285,0.019607915246510954,0.0481244773594229,0,12,0,0,0.0
AAOI,tb_450_456#0,bo_448#0,448,450,456,2024-09-03 00:00:00,448,1,66.0,1.8505429627750132,66,1,1.8505429627750132,20,0.7255527816046279,0.06745095346488204,1.1853026802202817,0.12938599999811773,0.6223111246801618,7,0,0,0,0.0
AAOI,tb_455_464#0,bo_450#0,450,455,464,2024-09-10 00:00:00,448,2,2.0,3.012757567557119,66,2,3.012757567557119,34,0.7984868091735615,0.10989011296115395,1.8785532619537055,0.344298287579448,0.9229444979377798,9,0,0,1,0.058461556067833535
AAOI,tb_658_673#0,bo_652#0,652,658,673,2025-07-03 00:00:00,649,2,3.0,2.0074097927262207,151,2,3.491838165339743,69,1.9123455404845384,0.14815409975110683,2.4028080783926944,0.326757659832821,0.1068434436660486,0,0,0,16,0.05581566866614311
AAPG,tb_94_99#0,bo_89#0,89,94,99,2025-06-10 00:00:00,89,1,27.0,0.6239232475370093,27,1,0.6239232475370093,26,1.3341358888092643,0.022053986004028536,0.5021977760390887,0.10031723852212093,0.4000353168086907,6,0,0,0,0.011311473729829907
AAT,tb_416_417#0,bo_414#0,414,416,417,2024-07-16 00:00:00,414,1,114.0,0.7392005473025801,114,1,0.7392005473025801,143,0.4358030956209615,0.02265370070782538,1.1364002128215955,0.017248827538974387,0.12037875059077607,2,0,0,0,0.0
AAUC,tb_196_212#0,bo_192#0,192,196,212,2025-05-29 00:00:00,192,1,29.0,5.316153871959165,29,1,5.316153871959165,25,0.5311817590245581,0.03142854145595005,0.8283409076232195,0.01721441875004337,0.0543596323795986,0,13,0,4,0.022638798290592062
AAUC,tb_265_274#0,bo_261#0,261,265,274,2025-09-08 00:00:00,260,2,1.0,0.9199744488680254,68,1,0.9199744488680254,20,0.4874206644965494,0.04110465010870785,1.313032943134417,0.023826708636598415,0.32826363158965094,10,0,0,0,0.014522824176554002
AAUC,tb_280_291#0,bo_275#0,275,280,291,2025-09-29 00:00:00,270,2,5.0,1.14074378708654,9,2,4.143552935144835,74,0.5556819837091854,0.03337104877849857,1.0617586495240154,0.07488701514218121,0.21307992160172415,0,12,0,0,0.016288579287170913
AAWH,tb_687_688#0,bo_683#0,683,687,688,2025-08-14 00:00:00,683,1,11.0,2.895426849681955,11,3,2.895426849681955,164,0.04747999403697243,0.11428569239013012,1.6849198264094953,0.11587980966164446,0.5183131922432131,0,0,0,2,0.08840578220341787
ABAT,tb_536#0,bo_530#0,530,536,536,2025-01-06 00:00:00,526,4,1.0,13.761466838651506,254,8,29.215195568864136,206,0.24237936070193336,0.4277372453315497,7.253093375321086,2.568181956725673,0.015151500099837678,0,1,0,0,0.1934523444175033
ABAT,tb_718_722#0,bo_714#0,714,718,722,2025-09-29 00:00:00,711,2,3.0,2.7922497696656268,45,4,3.2110749363741666,183,0.29228975747732155,0.15087044454503834,2.668585504125539,0.699588477770019,1.2905471016029935,5,0,0,0,0.07659567474185354
ABAT,tb_718_722#1,bo_715#0,715,718,722,2025-09-29 00:00:00,711,3,1.0,3.1433109724428157,45,4,3.2110749363741666,184,0.3139119026712022,0.15087044454503834,2.484774241342922,0.9341562469737765,1.2905471016029935,5,0,0,0,0.07659567474185354
ABCL,tb_721#0,bo_719#0,719,721,721,2025-10-02 00:00:00,719,1,50.0,0.8267750948226076,50,1,0.8267750948226076,36,0.3001277515831219,0.04991947518120196,1.032893296752283,0.03285427679859154,0.08946485714142183,0,1,0,0,0.0
ABCL,tb_726#0,bo_720#0,720,726,726,2025-10-09 00:00:00,719,2,1.0,2.5544350682841883,50,2,2.5544350682841883,51,0.29576150650108246,0.1082118093866293,2.3836770783539216,0.22381933843983193,0.05380716156179255,0,1,0,0,0.04213942069154834
ABCL,tb_731#0,bo_725#0,725,731,731,2025-10-16 00:00:00,719,3,5.0,1.7993770676427114,50,3,2.5544350682841883,439,0.34213024359891536,0.11373748485410722,2.1658409699307426,0.2669404971835274,0.03681501200911086,0,1,0,0,0.06429774067932595
ABLV,tb_541_559#0,bo_538#0,538,541,559,2025-01-14 00:00:00,536,2,2.0,0.8088235294117647,97,2,1.7710843373493974,42,0.09625616213962807,0.13793100967701988,1.6622308958184395,0.3154533606971688,0.6164365649756989,1,3,15,0,0.07184466311569575
ABOS,tb_671#0,bo_669#0,669,671,671,2025-07-23 00:00:00,663,3,5.0,0.8549648032205331,23,3,9.518848589826653,105,0.10326601572007195,0.06179776183885556,1.065210210136285,0.19230769936149672,0.005952446419502655,0,1,0,0,0.0
ABOS,tb_720_721#0,bo_718#0,718,720,721,2025-10-01 00:00:00,716,2,2.0,1.17646754255388,47,1,4.052056704624681,15,0.11814877899024794,0.07741938295605837,1.2188027217585342,0.24409454066501146,0.39777242625794074,2,0,0,0,0.0
