gate,x,fr,fp,match
first_drought,0.0,0.1780843309587659,0.5367222448149654,4882
first_drought,9.0,0.1886811842170233,0.5423415085608515,4383
first_drought,10.0,0.18843170009179366,0.5430806938159879,4290
first_drought,20.0,0.18653259693208354,0.5365940735451624,3430
first_drought,30.0,0.1830874388621818,0.5367885891823189,2951
first_drought,40.0,0.177814517728926,0.5275498241500586,2505
first_drought,60.0,0.17612987881223546,0.5357306459001374,1866
first_drought,100.0,0.1684567702267789,0.5789231477220432,999
first_drought,150.0,0.13600609146266052,0.5449172576832151,420
first_drought,250.0,0.14305984006847206,0.6871508379888268,82
distinct_pk,1.0,0.1780843309587659,0.5367222448149654,4882
distinct_pk,2.0,0.1981423723549009,0.5132397803538743,3313
distinct_pk,3.0,0.2174826849418831,0.5135204738604172,1662
distinct_pk,4.0,0.22391724811256145,0.5129424194400423,818
distinct_pk,5.0,0.2588580492487523,0.5305343511450382,381
distinct_pk,6.0,0.24639568678811874,0.4867021276595745,176
distinct_pk,8.0,0.17926216491316038,0.3697478991596639,44
distinct_pk,10.0,0.1682850834158588,0.3829787234042553,12
vol_spike,0.0,0.1780843309587659,0.5367222448149654,4882
vol_spike,2.0,0.1999999999999999,0.5236846165715168,2817
vol_spike,5.0,0.2205769005482716,0.5010343400910219,1157
vol_spike,10.0,0.2683320285063619,0.5097276264591439,514
vol_spike,15.0,0.2853066854277354,0.5074224021592443,369
vol_spike,20.0,0.2685184784550405,0.4828711256117455,297
vol_spike,30.0,0.2506393578253245,0.4713541666666667,205
vol_spike,50.0,0.2344272815038406,0.4396887159533074,144
peak_age,0.0,0.1780843309587659,0.5367222448149654,4882
peak_age,30.0,0.1763822294114474,0.523404713225008,3687
peak_age,60.0,0.17619500090068896,0.5307536329841163,2450
peak_age,90.0,0.1822630668733434,0.5318471337579618,1661
peak_age,125.0,0.19419832165818,0.5568840579710145,1145
peak_age,180.0,0.1999790286263144,0.531591737545565,651
peak_age,250.0,0.1982456407461883,0.5332480818414322,321
peak_age,350.0,0.1629701593739703,0.4343065693430657,137
day_drop,0.05,0.16714953413083772,0.5482264457770099,3942
day_drop,0.1,0.17487898742294244,0.5369730476848652,4572
day_drop,0.15,0.1772575149496023,0.5375507162374762,4777
day_drop,0.2,0.17775115668966346,0.5370249017038008,4832
day_drop,0.3,0.17797727072107283,0.5366767076447122,4874
day_drop,0.4,0.1780843309587659,0.5367718841522942,4878
day_drop,0.5,0.1780843309587659,0.5367282193118035,4880
