symbol,tb_id,bo_id,bo_idx,tb_start,tb_end,tb_date,first_bo_idx,burst_count,bo_drought,bo_vol_ratio,burst_first_drought,burst_distinct_pk,burst_max_bar_vol_ratio,burst_peak_age_max,atr,m2_depth_rel,m2_depth_atr,m1_burst_runup,label,fp_up,fp_down,fp_both,fp_none,day_drop
AHG,tb_330_342#0,bo_327#0,327,330,342,2026-03-16 00:00:00,326,2,1,13.452405907575036,47,6,13.505197505197504,160,0.15259101242639353,0.11999998092651368,1.9660394642246535,0.4864864995481324,0.04296238210079008,0,6,0,7,0.019999980926513672
AIFF,tb_326#0,bo_324#0,324,326,326,2026-03-10 00:00:00,322,2,2,7.211547471642426,265,4,2649.9683927370547,77,0.1513566759809585,0.2361111525032239,3.369525039891251,1.6811594641075946,0.6666667297403652,1,0,0,0,0.09729733212835297
ALTO,tb_327_329#0,bo_323#0,323,327,329,2026-03-11 00:00:00,323,1,51,24.77275988560688,51,3,24.77275988560688,47,0.17806073460229552,0.053763439757573944,1.4040153240880602,0.5461538955304768,0.28691842497015685,2,0,0,1,0.004555804449835806
AMPG,tb_384_385#0,bo_377#0,377,384,385,2026-06-02 00:00:00,364,6,1,9.453127494611637,69,5,19.257423222255376,167,0.34927907045283746,0.13124330688179237,2.121511883544055,1.5804878462928178,0.9553773158364762,2,0,0,0,0.06553909968910822
ANGH,tb_394#0,bo_392#0,392,394,394,2026-06-16 00:00:00,389,2,3,50.04537622056289,53,3,50.04537622056289,109,0.4128220647676616,0.3346007491964025,6.395006691251838,0.4947090312516931,0.024263408483255366,0,1,0,0,0.019469049850918765
APPS,tb_383#0,bo_381#0,381,383,383,2026-06-01 00:00:00,371,4,1,6.671980584094192,156,4,22.2873321229903,139,0.4763497319580764,0.10408167733792524,2.1412848361872117,1.173126639820857,0.4623656024242606,1,0,0,0,0.0
ATOM,tb_365#0,bo_363#0,363,365,365,2026-05-05 00:00:00,354,3,5,2.8189621823844244,41,4,11.865201325415589,309,0.8520146835856154,0.1228222912574645,1.6549008773866094,1.0728972617336034,0.17092796210011718,0,0,0,1,0.06492337755836676
BBBXF,tb_298#0,bo_296#0,296,298,298,2026-01-28 00:00:00,295,2,1,14.538529977488992,70,3,14.538529977488992,71,0.0606179539142563,0.12222217512719301,1.8146431477391036,0.3636363340803421,0.358024716795154,0,0,0,1,0.0
BBBXF,tb_302_303#0,bo_299#0,299,302,303,2026-02-03 00:00:00,295,3,3,22.283913745195587,70,4,22.283913745195587,124,0.07911721969605837,0.24545457698096845,3.4126583513476256,0.7272726681606843,0.10379833928023996,0,0,0,2,0.11578949019519266
BDCO,tb_328_329#0,bo_324#0,324,328,329,2026-03-12 00:00:00,321,2,3,20.62422997946612,72,3,20.62422997946612,57,0.14121198066841942,0.17131476828326178,3.045067881080767,0.36551720962796663,0.8304292409485529,2,0,0,0,0.0758928908795421
BDCO,tb_328_329#1,bo_325#0,325,328,329,2026-03-12 00:00:00,321,3,1,4.037569060773481,72,4,20.62422997946612,79,0.19112541300486097,0.12605049424770126,1.5696509742910707,0.5448275419818107,0.8304292409485529,2,0,0,0,0.0758928908795421
BDCO,tb_337_351#0,bo_333#0,333,337,351,2026-03-25 00:00:00,321,4,8,4.146032297273832,72,5,20.62422997946612,79,0.20144597408893553,0.07352942852206691,0.9928222620890833,0.7586205989370478,0.5321810184941776,8,0,0,7,0.10116731409218042
BIAF,tb_337#0,bo_335#0,335,337,337,2026-03-25 00:00:00,329,2,6,9.45743162299268,238,5,491.87287147189176,113,0.42042872214103333,0.29460966625122154,3.769961362476283,3.4205605487905215,0.2795969488908041,0,1,0,0,0.16279069298552382
BOLD,tb_352#0,bo_350#0,350,352,352,2026-04-16 00:00:00,350,1,122,52.37647735520892,122,3,52.37647735520892,118,0.05448228100895481,0.06845231780828605,2.1107759843709926,0.29999990065892934,0.01226992698467555,0,0,0,1,0.0
CCM,tb_370#0,bo_368#0,368,370,370,2026-05-12 00:00:00,364,2,4,0.5719646531896865,255,3,187.94310722100656,85,0.3668486935938013,0.19206349230377281,3.298362674522056,0.45316448147490673,0.09818181124600489,0,1,0,0,0.07142854769352029
