symbol,tb_id,bo_id,bo_idx,tb_start,tb_end,tb_date,first_bo_idx,burst_count,bo_drought,bo_vol_ratio,burst_first_drought,burst_distinct_pk,burst_max_bar_vol_ratio,burst_peak_age_max,atr,m2_depth_rel,m2_depth_atr,m1_burst_runup,label,fp_up,fp_down,fp_both,fp_none,day_drop
AHG,tb_121_133#0,bo_118#0,118,121,133,2026-03-16 00:00:00,117,2,1,13.452405907575036,47,4,13.505197505197504,88,0.15258830340167479,0.11999998092651368,1.9660743689282767,0.4864864995481324,0.04296238210079008,0,6,0,7,0.019999980926513672
ALTO,tb_118_120#0,bo_114#0,114,118,120,2026-03-11 00:00:00,114,1,51,24.77275988560688,51,3,24.77275988560688,47,0.17807224178861536,0.053763439757573944,1.403924595371625,0.5461538955304768,0.28691842497015685,2,0,0,1,0.004555804449835806
AMPG,tb_175_176#0,bo_168#0,168,175,176,2026-06-02 00:00:00,155,6,1,9.453127494611637,69,4,19.257423222255376,157,0.34927927854543267,0.13124330688179237,2.1215106195958606,1.5804878462928178,0.9553773158364762,2,0,0,0,0.06553909968910822
ANGH,tb_185#0,bo_183#0,183,185,185,2026-06-16 00:00:00,180,2,3,50.04537622056289,53,3,50.04537622056289,109,0.4128218732617026,0.3346007491964025,6.395009657862787,0.4947090312516931,0.024263408483255366,0,1,0,0,0.019469049850918765
BDCO,tb_119_120#0,bo_115#0,115,119,120,2026-03-12 00:00:00,112,2,3,20.62422997946612,77,3,20.62422997946612,57,0.14120451615712198,0.17131476828326178,3.045228852869902,0.36551720962796663,0.8304292409485529,2,0,0,0,0.0758928908795421
BDCO,tb_119_120#1,bo_116#0,116,119,120,2026-03-12 00:00:00,112,3,1,4.037569060773481,77,4,20.62422997946612,79,0.19111848167294193,0.12605049424770126,1.56970790113459,0.5448275419818107,0.8304292409485529,2,0,0,0,0.0758928908795421
BDCO,tb_128_142#0,bo_124#0,124,128,142,2026-03-25 00:00:00,112,4,8,4.146032297273832,77,5,20.62422997946612,79,0.2014421428500733,0.07352942852206691,0.992841144628655,0.7586205989370478,0.5321810184941776,8,0,0,7,0.10116731409218042
ENVB,tb_151#0,bo_149#0,149,151,151,2026-04-28 00:00:00,143,3,4,13.09525987738234,86,3,290.82097679167185,61,0.52807052395734,0.3769035817126417,5.624249285439645,1.4827586368893209,0.07706763800424299,0,1,0,0,0.0
HTCO,tb_148_149#0,bo_142#0,142,148,149,2026-04-23 00:00:00,133,3,8,2.2233957272836586,88,3,16.157133428665713,30,1.4116318421311866,0.17094017372685902,1.4168000042989501,0.3528722535883815,4.316596168151429,2,0,0,0,0.08095677310999866
IFRX,tb_154#0,bo_152#0,152,154,154,2026-05-01 00:00:00,141,3,8,3.973126061146098,67,3,17.87916697960366,115,0.15326550266348385,0.11617306778028604,1.6637786820314502,0.8504672168342227,0.40428572174643196,0,0,0,1,0.0
OABI,tb_165_168#0,bo_163#0,163,165,168,2026-05-18 00:00:00,159,3,2,2.1668814082206698,106,3,13.98266736143488,78,0.10918660654738463,0.06410250532086098,1.3737935603278946,0.4897959282973168,0.1427672160503865,0,0,0,4,0.004566205571678748
OABI,tb_167_178#0,bo_165#0,165,167,178,2026-05-20 00:00:00,159,4,2,2.69212416758429,106,4,13.98266736143488,106,0.1248343649924927,0.08045969661645656,1.6822274839225764,0.5578230729818718,0.058564902938043194,0,4,0,8,0.0
SGMT,tb_156#0,bo_150#0,150,156,156,2026-05-05 00:00:00,142,3,6,96.28379469381316,117,3,96.28379469381316,57,0.38882386913204453,0.20277482588827841,4.886531528037935,0.46570396055437735,0.08549227230391976,0,0,0,1,0.06627914223430802
