symbol,tb_id,bo_id,bo_idx,tb_start,tb_end,tb_date,first_bo_idx,burst_count,bo_drought,bo_vol_ratio,burst_first_drought,burst_distinct_pk,burst_max_bar_vol_ratio,burst_peak_age_max,atr,m2_depth_rel,m2_depth_atr,m1_burst_runup,label,fp_up,fp_down,fp_both,fp_none,day_drop
AIFF,tb_326#0,bo_324#0,324,326,326,2026-03-10 00:00:00,322,2,2,7.211547471642426,265,4,2649.9683927370547,77,0.1513566759809585,0.2361111525032239,3.369525039891251,1.6811594641075946,0.6666667297403652,1,0,0,0,0.09729733212835297
AMPG,tb_384_385#0,bo_377#0,377,384,385,2026-06-02 00:00:00,364,6,1,9.453127494611637,69,5,19.257423222255376,167,0.34927907045283746,0.13124330688179237,2.121511883544055,1.5804878462928178,0.9553773158364762,2,0,0,0,0.06553909968910822
APPS,tb_383#0,bo_381#0,381,383,383,2026-06-01 00:00:00,371,4,1,6.671980584094192,156,4,22.2873321229903,139,0.4763497319580764,0.10408167733792524,2.1412848361872117,1.173126639820857,0.4623656024242606,1,0,0,0,0.0
BBBXF,tb_302_303#0,bo_299#0,299,302,303,2026-02-03 00:00:00,295,3,3,22.283913745195587,70,4,22.283913745195587,124,0.07911721969605837,0.24545457698096845,3.4126583513476256,0.7272726681606843,0.10379833928023996,0,0,0,2,0.11578949019519266
BDCO,tb_328_329#1,bo_325#0,325,328,329,2026-03-12 00:00:00,321,3,1,4.037569060773481,72,4,20.62422997946612,79,0.19112541300486097,0.12605049424770126,1.5696509742910707,0.5448275419818107,0.8304292409485529,2,0,0,0,0.0758928908795421
BDCO,tb_337_351#0,bo_333#0,333,337,351,2026-03-25 00:00:00,321,4,8,4.146032297273832,72,5,20.62422997946612,79,0.20144597408893553,0.07352942852206691,0.9928222620890833,0.7586205989370478,0.5321810184941776,8,0,0,7,0.10116731409218042
BIAF,tb_337#0,bo_335#0,335,337,337,2026-03-25 00:00:00,329,2,6,9.45743162299268,238,5,491.87287147189176,113,0.42042872214103333,0.29460966625122154,3.769961362476283,3.4205605487905215,0.2795969488908041,0,1,0,0,0.16279069298552382
DHX,tb_311#0,bo_306#0,306,311,311,2026-02-17 00:00:00,296,4,1,4.3603391776053915,179,4,29.034959329023767,71,0.14033496514749413,0.17229729185494486,3.6341619490712045,0.5086704429596649,0.1625441874728304,0,0,0,1,0.14285709420028916
EGHT,tb_307#0,bo_303#0,303,307,307,2026-02-10 00:00:00,303,1,92,33.35090938240376,92,4,33.35090938240376,221,0.08772599006469729,0.09154929518344924,2.9637737946475005,0.4698795820981827,0.06037729873738917,0,1,0,0,0.04029308891790279
ELA,tb_335_340#0,bo_333#0,333,335,340,2026-03-23 00:00:00,333,1,34,21.130358441374174,34,4,21.130358441374174,59,0.7825855795092372,0.08126805591268718,1.8017209082368262,0.311800171628525,0.5791138403986977,6,0,0,0,0.0
