symbol,tb_id,bo_id,bo_idx,tb_start,tb_end,tb_date,first_bo_idx,burst_count,bo_drought,bo_vol_ratio,burst_first_drought,burst_distinct_pk,burst_max_bar_vol_ratio,burst_peak_age_max,atr,m2_depth_rel,m2_depth_atr,m1_burst_runup,label,fp_up,fp_down,fp_both,fp_none,day_drop
AACG,tb_680#0,bo_676#0,676,680,680,2025-08-05 00:00:00,669,3,1,12.969419924337956,198,10,36.79383429672447,350,0.09991416718982127,0.439130439740273,10.108676465714968,1.0731708079416937,0.8169014096331015,1,0,0,0,0.5135135004518676
AACG,tb_680_682#0,bo_677#0,677,680,682,2025-08-05 00:00:00,669,4,1,19.558344529278763,198,11,36.79383429672447,563,0.12706315661008305,0.439130439740273,7.94880292138995,1.7073171316761835,0.6643458926376034,2,0,0,1,0.5135135004518676
AAME,tb_287_305#0,bo_280#0,280,287,305,2024-01-09 00:00:00,277,3,1,3.456359102244389,0,2,3.866197183098592,83,0.11107961096617533,0.043137214569712944,0.9666069156002393,0.09452739583156755,0.14217301473169788,0,5,0,14,0.008196744286524569
AAME,tb_287_305#1,bo_281#0,281,287,305,2024-01-09 00:00:00,277,4,1,3.588726513569937,0,3,3.866197183098592,138,0.11708956700658384,0.043137214569712944,0.9169930582803497,0.2189055642311568,0.14217301473169788,0,5,0,14,0.008196744286524569
ABAT,tb_536#0,bo_530#0,530,536,536,2025-01-06 00:00:00,526,4,1,13.761466838651506,254,8,29.215195568864136,206,0.24237936070193336,0.4277372453315497,7.253093375321086,2.568181956725673,0.015151500099837678,0,1,0,0,0.1934523444175033
ABAT,tb_718_722#0,bo_715#0,715,718,722,2025-09-29 00:00:00,711,3,1,3.1433109724428157,45,4,3.2110749363741666,184,0.3139119026712022,0.15087044454503834,2.484774241342922,0.9341562469737765,1.2905471016029935,5,0,0,0,0.07659567474185354
ABCL,tb_731#0,bo_725#0,725,731,731,2025-10-16 00:00:00,719,3,5,1.7993770676427114,50,3,2.5544350682841883,439,0.34213024359891536,0.11373748485410722,2.1658409699307426,0.2669404971835274,0.03681501200911086,0,1,0,0,0.06429774067932595
ABOS,tb_671#0,bo_669#0,669,671,671,2025-07-23 00:00:00,663,3,5,0.8549648032205331,23,3,9.518848589826653,105,0.10326601572007195,0.06179776183885556,1.065210210136285,0.19230769936149672,0.005952446419502655,0,1,0,0,0.0
ABOS,tb_725#0,bo_719#0,719,725,725,2025-10-08 00:00:00,716,3,1,2.2185139486593037,47,2,4.052056704624681,26,0.1211381580502794,0.11428566725075437,1.9812080205796068,0.3464567431721235,0.3085106619076796,0,0,0,1,0.030927866092331894
ABOS,tb_726_734#0,bo_723#0,723,726,734,2025-10-09 00:00:00,716,4,4,1.8117173742907455,47,4,4.052056704624681,177,0.13114891877119908,0.18454933975446774,3.2787151550832503,0.5275591231152259,0.14528209115038837,0,5,0,4,0.030927866092331894
ABR,tb_664#0,bo_662#0,662,664,664,2025-07-14 00:00:00,656,3,5,0.5949055788668465,188,2,1.0285738846522128,34,0.2831613703215237,0.019298186027733727,0.6640140627330648,0.051401881341832434,0.11675887116893202,0,0,0,1,0.0
ABSI,tb_562_566#0,bo_560#0,560,562,566,2025-02-13 00:00:00,556,3,3,1.4185990698446416,67,4,2.1264069843287454,135,0.433798781597759,0.05504957312217285,0.640850934949426,0.12873562185212117,0.08520755999946676,0,5,0,0,0.0
ABUS,tb_701#0,bo_699#0,699,701,701,2025-09-04 00:00:00,697,3,1,3.4319509597950906,53,4,3.4319509597950906,183,0.11532152359376938,0.053658486660712795,1.9077079745028325,0.04657529683112327,0.27182035250274095,1,0,0,0,0.0
ABVEF,tb_322#0,bo_318#0,318,322,322,2025-10-14 00:00:00,313,3,4,2.0780827043994057,57,3,2.0780827043994057,62,0.2965784285772618,0.34665769106542194,6.959372942875494,1.655172333469762,0.5185184449325402,0,1,0,0,0.20798323536801208
ABVX,tb_65_76#0,bo_63#0,63,65,76,2024-01-25 00:00:00,59,3,1,0.5046279196687964,0,2,0.5046279196687964,45,0.6938514101701367,0.02325769798042848,0.40642648249939745,0.04279474054852517,0.34485506696904883,12,0,0,0,0.004187540939506615
ABVX,tb_67_70#0,bo_65#0,65,67,70,2024-01-29 00:00:00,59,4,2,0.33039261032812756,0,2,0.7691367066424284,45,0.6740861388115243,0.05863850900269861,1.161572605173437,0.04978171685534005,0.2979387059159816,4,0,0,0,0.0
ABVX,tb_69_70#0,bo_67#0,67,69,70,2024-01-31 00:00:00,59,5,2,0.4221173442025099,0,3,0.7691367066424284,45,0.6592170971183542,0.09408408552725446,2.0023747875993414,0.15807864190111864,0.2918408093197421,2,0,0,0,0.030920048290729408
ABXXF,tb_690#0,bo_688#0,688,690,690,2025-08-19 00:00:00,681,3,6,1.3727064220183487,30,3,3.854262277310013,359,0.431333857130944,0.04931282638000414,1.4142169611602338,0.24191828479793087,1.269949098239386,1,0,0,0,0.0
ACDC,tb_646_649#0,bo_643#0,643,646,649,2025-06-16 00:00:00,639,3,1,1.1399357106686532,16,5,1.2860283178766774,216,0.6185223472902346,0.09382844007020727,1.5116679675568148,0.22179480768363158,0.04146462902327175,0,4,0,0,0.04931787266776338
ACHR,tb_507_508#0,bo_505#0,505,507,508,2024-11-21 00:00:00,498,3,6,2.515443209578804,90,3,4.088027180196122,80,0.3101369771751516,0.1641285643376788,3.1276495922117586,0.46571431841169075,1.1118509565594363,2,0,0,0,0.013645257329395942
ACHR,tb_511#0,bo_509#0,509,511,511,2024-11-27 00:00:00,498,6,1,5.06119267120289,90,8,5.06119267120289,238,0.3937044090932336,0.12763467885910623,2.7685749191845255,1.1371428625924245,0.5439357053542913,1,0,0,0,0.034759388799311924
ACHR,tb_516_522#0,bo_511#0,511,516,522,2024-12-05 00:00:00,498,7,2,3.5937139605486967,90,9,5.06119267120289,319,0.5199083871516381,0.284552860499547,5.385564572394956,1.3085714067731584,0.6087576792142906,3,0,0,4,0.23719953777188188
ACHR,tb_633#0,bo_626#0,626,633,633,2025-05-28 00:00:00,616,4,1,2.600174267442869,52,5,3.3674942253532114,89,0.7320109777726971,0.22988504250907327,4.371518879405106,0.5683963335719018,0.25388125857490396,0,0,0,1,0.14360900902412516
ACHV,tb_633_635#0,bo_626#0,626,633,635,2025-05-28 00:00:00,617,3,1,3.1540207062827963,229,3,3.1540207062827963,40,0.2058965220502449,0.07831325171422603,1.2627701909399378,0.19844358121042616,0.2845406738345107,0,3,0,0,0.054140149877203045
ACHV,tb_633_636#0,bo_627#0,627,633,636,2025-05-28 00:00:00,617,4,1,2.733357792529138,229,4,3.1540207062827963,50,0.22118961603775356,0.07831325171422603,1.1754620091156494,0.2879377543808024,0.23904653650320062,0,4,0,0,0.054140149877203045
ACIC,tb_500_520#0,bo_496#0,496,500,520,2024-11-12 00:00:00,487,3,1,1.3631620217789908,174,3,4.246139907131262,60,0.5321218675364284,0.0303255055620581,0.6978252103894163,0.2850241767065087,0.10160464880834279,0,6,0,15,0.04962402074261297
ACIU,tb_719_721#0,bo_716#0,716,719,721,2025-09-30 00:00:00,709,3,1,3.2367860089850553,39,2,3.2367860089850553,153,0.1589043900150493,0.08064516377126521,1.5732730856354777,0.1733871223589134,0.3259425699257233,1,0,0,2,0.04934205882602063
ACIU,tb_724#0,bo_722#0,722,724,724,2025-10-07 00:00:00,709,5,1,7.249324324324324,39,4,7.249324324324324,220,0.19127436474007076,0.1403508625165541,2.927731290811207,0.6088709592136956,0.114206154772446,0,0,0,1,0.11278196656845693
ACNT,tb_285#0,bo_283#0,283,285,285,2024-01-05 00:00:00,279,3,1,2.556240369799692,0,2,7.40039871185401,84,0.43802679867257627,0.03137251968706392,0.7305482125613451,0.24598266175329897,0.12124249435344514,0,0,0,1,0.024801587489306644
ACNT,tb_296#0,bo_290#0,290,296,296,2024-01-23 00:00:00,279,4,7,1.016727529744375,0,3,7.40039871185401,84,0.3902580186604367,0.043198553500471186,1.2043321201754873,0.3102596021681061,0.07492792933758752,0,0,0,1,0.027102800656306197
ACOG,tb_128#0,bo_126#0,126,128,128,2025-05-20 00:00:00,118,3,7,9.709485119801139,0,5,9.709485119801139,106,0.6554565278983935,0.14035083169605295,2.441045835527076,0.27958569906159014,0.09125297115773168,0,0,0,1,0.0
ACOG,tb_132#0,bo_127#0,127,132,132,2025-05-27 00:00:00,118,4,1,4.500273185341077,0,5,9.709485119801139,106,0.8136382303625255,0.23771930954646428,3.3307186621989264,0.47928989074222095,0.3083900636215404,0,0,0,1,0.11776657422964902
ACVA,tb_325#0,bo_323#0,323,325,325,2024-03-05 00:00:00,317,3,3,0.6393889910911759,177,3,3.7267611419852207,147,0.7818743514123959,0.031712493607307365,0.7673872155876095,0.27785709926060265,0.04603857581914905,0,0,0,1,0.0
