symbol,tb_id,bo_id,bo_idx,tb_start,tb_end,tb_date,first_bo_idx,burst_count,bo_drought,bo_vol_ratio,burst_first_drought,burst_distinct_pk,burst_max_bar_vol_ratio,burst_peak_age_max,atr,m2_depth_rel,m2_depth_atr,m1_burst_runup,label,fp_up,fp_down,fp_both,fp_none,day_drop
AACG,tb_477_497#0,bo_471#0,471,477,497,2024-10-10 00:00:00,466,2,5.0,1.4792920353982302,140,3,2.7126108092650845,68,0.06323636627014348,0.07608694736696163,1.1069578626388046,0.3235293627816507,0.0733302102414724,0,11,0,10,0.02272725117600642
AACG,tb_681_682#0,bo_677#0,677,681,682,2025-08-06 00:00:00,669,4,1.0,19.558344529278763,198,11,36.79383429672447,563,0.12706315661008305,0.40434781166466033,7.31919442550755,1.7073171316761835,0.5880681341398543,1,0,0,1,0.5135135004518676
AAL,tb_696_698#0,bo_693#0,693,696,698,2025-08-27 00:00:00,690,2,3.0,1.0240198117247854,28,1,1.088953922312565,31,0.4324635315642434,0.03976435676633336,1.248660112217599,0.02885346334393124,0.057416330296279496,0,3,0,0,0.040590419409066804
AAME,tb_288_305#0,bo_281#0,281,288,305,2024-01-10 00:00:00,277,4,1.0,3.588726513569937,0,3,3.866197183098592,138,0.11708956700658384,0.03891046973934737,0.8336300529821375,0.2189055642311568,0.14288196412743087,0,5,0,13,0.008196744286524569
AAME,tb_695_698#0,bo_688#0,688,695,698,2025-08-26 00:00:00,687,2,1.0,5.206704912154894,37,2,11.665195460277427,359,0.1962239489521506,0.0710382470945342,1.3250166039959683,0.25714280153502633,0.03573384137352903,0,0,0,4,0.0666666712737889
AAMI,tb_417_427#0,bo_414#0,414,417,427,2024-07-17 00:00:00,414,1,56.0,0.530500055322296,56,1,0.530500055322296,111,0.5629116910576384,0.019801980198019722,0.8836557674481077,0.019607915246510954,0.04659672428133006,0,11,0,0,0.0
AAOI,tb_451_456#0,bo_448#0,448,451,456,2024-09-04 00:00:00,448,1,66.0,1.8505429627750132,66,1,1.8505429627750132,20,0.7255527816046279,0.12820513178801293,2.4119540912374577,0.12938599999811773,0.61618734294713,6,0,0,0,0.0
AAPG,tb_95_99#0,bo_89#0,89,95,99,2025-06-11 00:00:00,89,1,27.0,0.6239232475370093,27,1,0.6239232475370093,26,1.3341358888092643,0.020737300137262556,0.47221513644227425,0.10031723852212093,0.38853734748108826,5,0,0,0,0.011311473729829907
AAT,tb_417#0,bo_414#0,414,417,417,2024-07-17 00:00:00,414,1,114.0,0.7392005473025801,114,1,0.7392005473025801,143,0.4358030956209615,0.024283462976595203,1.2378669095086234,0.017248827538974387,0.12265684673933475,1,0,0,0,0.00405840155907882
AAUC,tb_197_212#0,bo_192#0,192,197,212,2025-05-30 00:00:00,192,1,29.0,5.316153871959165,29,1,5.316153871959165,25,0.5311817590245581,0.048916893250391884,1.317817773383084,0.01721441875004337,0.047501765750381064,0,13,0,3,0.022638798290592062
AAUC,tb_266_274#0,bo_261#0,261,266,274,2025-09-09 00:00:00,260,2,1.0,0.9199744488680254,68,1,0.9199744488680254,20,0.4874206644965494,0.041533522963198406,1.3335495720142472,0.023826708636598415,0.3291560456468347,9,0,0,0,0.02577323198495751
AAUC,tb_281_291#0,bo_275#0,275,281,291,2025-09-30 00:00:00,270,2,5.0,1.14074378708654,9,2,4.143552935144835,74,0.5556819837091854,0.02808988884443171,0.8997952329900866,0.07488701514218121,0.21697914762302573,0,11,0,0,0.016288579287170913
