flat,bo.min_relative_height,bo.exceed_threshold,burst.gap_max,tb.stop_confirm_bars,tb.big_rise_k,burst.count,burst.first_drought,burst.distinct_pk,burst.max_bar_vol_ratio,burst.peak_age_max,tb.day_drop,evaluable,s,s_nb,n_eval_nb,boot_top,count_2024,fp_2024,delta_2024,count_2025,fp_2025,delta_2025,flags
116594,0.15,0.001,4,3,5.0,4,20,4,0,125,,True,0.15986670832031663,0.07054491899852727,12,37,164,0.6464646464646465,0.15986670832031663,154,0.79,0.2128698962846265,
116595,0.15,0.001,4,3,5.0,4,20,4,0,125,0.2,True,0.15986670832031663,0.06755854097327119,12,35,164,0.6464646464646465,0.15986670832031663,148,0.79,0.2128698962846265,
6867,0.1,0.001,4,3,12.0,4,20,4,0,125,0.2,True,0.13163278288256464,0.058856607310215525,11,36,600,0.6620111731843575,0.17541323504002765,517,0.7087628865979382,0.13163278288256464,
6854,0.1,0.001,4,3,12.0,4,20,3,0,125,,True,0.13083449805453795,0.0525770092553377,12,16,741,0.6674364896073903,0.18083855146306044,683,0.7079646017699115,0.13083449805453795,
6855,0.1,0.001,4,3,12.0,4,20,3,0,125,0.2,True,0.13083449805453795,0.05063014865055704,12,40,724,0.6930455635491607,0.2064476254048308,676,0.7079646017699115,0.13083449805453795,
144218,0.15,0.003,4,3,5.0,4,20,1,0,125,,True,0.16102110947471776,0.04243511367593078,12,18,198,0.6476190476190476,0.16102110947471776,141,0.7931034482758621,0.21597334456048856,
6843,0.1,0.001,4,3,12.0,4,20,1,0,125,0.2,True,0.13083449805453795,0.0405461624216672,11,33,847,0.6862745098039216,0.19967657165959168,680,0.7079646017699115,0.13083449805453795,
6842,0.1,0.001,4,3,12.0,4,20,1,0,125,,True,0.13083449805453795,0.040220787066965746,11,17,864,0.6653992395437263,0.17880130139939637,687,0.7079646017699115,0.13083449805453795,
144219,0.15,0.003,4,3,5.0,4,20,1,0,125,0.2,True,0.16102110947471776,0.038254511669241875,11,17,198,0.6476190476190476,0.16102110947471776,135,0.7931034482758621,0.21597334456048856,
34503,0.1,0.003,4,3,12.0,4,20,3,0,125,0.2,True,0.1299069162246021,0.03506584001858176,13,14,719,0.616504854368932,0.1299069162246021,535,0.7622950819672131,0.18516497825183953,
34515,0.1,0.003,4,3,12.0,4,20,4,0,125,0.2,True,0.0932339946287794,0.03435638277111297,12,8,591,0.5798319327731093,0.0932339946287794,465,0.740625,0.16349489628462643,
117435,0.15,0.001,4,3,12.0,4,20,1,0,125,0.2,True,0.15076105274721152,0.03385644336982829,12,16,455,0.7106227106227107,0.22402477247838076,511,0.7278911564625851,0.15076105274721152,
157502,0.15,0.003,12,3,3.0,3,20,1,0,125,,True,0.12226869387981687,0.03221383266633615,15,5,679,0.6495535714285714,0.1629556332842415,763,0.6993987975951904,0.12226869387981687,
157503,0.15,0.003,12,3,3.0,3,20,1,0,125,0.2,True,0.12226869387981687,0.0312615046762349,15,6,674,0.6568848758465011,0.17028693770217124,762,0.6993987975951904,0.12226869387981687,
6831,0.1,0.001,4,3,12.0,4,0,4,0,125,0.2,True,0.12304942949827102,0.02994793621203118,10,12,760,0.6222707423580786,0.13567280421374867,856,0.7001795332136446,0.12304942949827102,
34490,0.1,0.003,4,3,12.0,4,20,1,0,125,,True,0.11884423872641842,0.028617022721408092,12,3,774,0.6054421768707483,0.11884423872641842,548,0.7622950819672131,0.18516497825183953,
117026,0.15,0.001,4,3,8.0,4,20,4,0,125,,True,0.09158155272634427,0.02847737292014052,13,16,274,0.6625766871165644,0.17597874897223448,285,0.6687116564417178,0.09158155272634427,
117434,0.15,0.001,4,3,12.0,4,20,1,0,125,,True,0.15076105274721152,0.02724148098407997,12,9,472,0.671280276816609,0.18468233867227907,518,0.7278911564625851,0.15076105274721152,
116582,0.15,0.001,4,3,5.0,4,20,3,0,125,,True,0.1533046788933221,0.02696545942455819,13,6,177,0.6538461538461539,0.16724821570182397,205,0.7304347826086957,0.1533046788933221,
117002,0.15,0.001,4,3,8.0,4,20,1,0,125,,True,0.10914440608854803,0.026676124658328915,13,7,357,0.7192118226600985,0.23261388451576864,366,0.6862745098039216,0.10914440608854803,
95750,0.1,0.03,8,3,5.0,3,20,4,0,125,,True,0.12541947135544795,0.026563078102808224,14,2,685,0.6394557823129252,0.15285784416859532,650,0.7025495750708215,0.12541947135544795,
34491,0.1,0.003,4,3,12.0,4,20,1,0,125,0.2,True,0.14163735597331722,0.026338104377112037,12,9,757,0.6282352941176471,0.14163735597331722,541,0.7622950819672131,0.18516497825183953,
117459,0.15,0.001,4,3,12.0,4,20,4,0,125,0.2,True,0.13715561057034076,0.025484275369593745,12,24,372,0.6695278969957081,0.18292995885137825,370,0.7142857142857143,0.13715561057034076,
117027,0.15,0.001,4,3,8.0,4,20,4,0,125,0.2,True,0.09158155272634427,0.0247746581893884,13,10,273,0.6666666666666666,0.18006872852233674,279,0.6687116564417178,0.09158155272634427,
117003,0.15,0.001,4,3,8.0,4,20,1,0,125,0.2,True,0.10914440608854803,0.023218936424242553,13,5,356,0.7227722772277227,0.23617433908339286,360,0.6862745098039216,0.10914440608854803,
157514,0.15,0.003,12,3,3.0,3,20,3,0,125,,True,0.11598054346625486,0.022869896284626434,16,4,570,0.6390374331550802,0.15243949501075033,742,0.6931106471816284,0.11598054346625486,
116583,0.15,0.001,4,3,5.0,4,20,3,0,125,0.2,True,0.1533046788933221,0.022869896284626434,13,3,177,0.6538461538461539,0.16724821570182397,199,0.7304347826086957,0.1533046788933221,
95751,0.1,0.03,8,3,5.0,3,20,4,0,125,0.2,True,0.12201029743075831,0.022001589482889883,14,3,658,0.6291866028708134,0.14258866472648352,641,0.6991404011461319,0.12201029743075831,
157515,0.15,0.003,12,3,3.0,3,20,3,0,125,0.2,True,0.11598054346625486,0.021828229617959827,16,4,565,0.6476964769647696,0.16109853882043973,741,0.6931106471816284,0.11598054346625486,
34502,0.1,0.003,4,3,12.0,4,20,3,0,125,,True,0.10686000578090377,0.020990594739312585,13,8,736,0.5934579439252337,0.10686000578090377,542,0.7622950819672131,0.18516497825183953,
46827,0.1,0.003,12,3,3.0,2,20,4,0,125,0.2,True,0.04715402417906106,0.020894212394048983,14,2,985,0.533751962323391,0.04715402417906106,1027,0.6837060702875399,0.10657596657216639,
46719,0.1,0.003,12,3,3.0,1,20,4,0,125,0.2,True,0.04548343900746982,0.020894212394048983,13,2,987,0.5320813771517997,0.04548343900746982,1027,0.6837060702875399,0.10657596657216639,
6434,0.1,0.001,4,3,8.0,4,20,4,0,125,,True,0.09796014899220773,0.020635259413118057,12,15,460,0.6828358208955224,0.19623788275119253,401,0.6750902527075813,0.09796014899220773,
6435,0.1,0.001,4,3,8.0,4,20,4,0,125,0.2,True,0.09796014899220773,0.020635259413118057,12,13,459,0.6853932584269663,0.1987953202826364,395,0.6750902527075813,0.09796014899220773,
212727,0.15,0.03,12,3,3.0,2,40,1,0,125,0.2,True,0.1453579345621384,0.020172401101582138,13,16,511,0.6714801444043321,0.18488220626000224,371,0.722488038277512,0.1453579345621384,
5127,0.1,0.001,4,2,12.0,4,20,3,0,125,0.2,True,0.09183541352600577,0.019957274925403112,14,7,1107,0.6307692307692307,0.14417129262490086,863,0.6689655172413793,0.09183541352600577,
144242,0.15,0.003,4,3,5.0,4,20,4,0,125,,True,0.14706542819230378,0.019574901361842978,11,19,181,0.6336633663366337,0.14706542819230378,132,0.8048780487804879,0.2277479450651143,
144243,0.15,0.003,4,3,5.0,4,20,4,0,125,0.2,True,0.14706542819230378,0.019574901361842978,11,18,181,0.6336633663366337,0.14706542819230378,126,0.8048780487804879,0.2277479450651143,
5126,0.1,0.001,4,2,12.0,4,20,3,0,125,,True,0.09182358410623881,0.019515263696767038,14,3,1134,0.6192592592592593,0.1326613211149294,876,0.6689536878216124,0.09182358410623881,
212619,0.15,0.03,12,3,3.0,1,40,1,0,125,0.2,True,0.1410517144664446,0.019448573483577036,12,9,535,0.660958904109589,0.17436096596525913,396,0.7181818181818181,0.1410517144664446,
116570,0.15,0.001,4,3,5.0,4,20,1,0,125,,True,0.16015803187784683,0.018829492244222368,12,22,213,0.725925925925926,0.23932798778159609,208,0.7372881355932204,0.16015803187784683,
116571,0.15,0.001,4,3,5.0,4,20,1,0,125,0.2,True,0.16015803187784683,0.018829492244222368,12,19,213,0.725925925925926,0.23932798778159609,202,0.7372881355932204,0.16015803187784683,
212618,0.15,0.03,12,3,3.0,1,40,1,0,125,,True,0.13458160799633812,0.018489943446789392,12,6,542,0.6543624161073825,0.16776447796305266,398,0.7117117117117117,0.13458160799633812,
117458,0.15,0.001,4,3,12.0,4,20,4,0,125,,True,0.13715561057034076,0.01804756125924578,12,14,389,0.6265060240963856,0.13990808595205567,377,0.7142857142857143,0.13715561057034076,
212726,0.15,0.03,12,3,3.0,2,40,1,0,125,,True,0.1385097067111667,0.01792693050515881,13,10,518,0.6643109540636042,0.1777130159192743,373,0.7156398104265402,0.1385097067111667,
129723,0.15,0.001,12,3,3.0,2,0,3,0,125,0.2,True,0.08648455100183511,0.017428622230213686,14,1,1048,0.573082489146165,0.08648455100183511,1293,0.68625,0.10911989628462648,
117446,0.15,0.001,4,3,12.0,4,20,3,0,125,,True,0.1433233216981898,0.017005698753762233,13,2,416,0.6299212598425197,0.1433233216981898,502,0.7338129496402878,0.15668284592491422,
116592,0.15,0.001,4,3,5.0,4,20,4,0,0,,True,0.11970127445409534,0.016778525726250826,12,4,199,0.6062992125984252,0.11970127445409534,183,0.7457627118644068,0.16863260814903325,
129615,0.15,0.001,12,3,3.0,1,0,3,0,125,0.2,True,0.08400724917555485,0.016456283719181397,13,3,1052,0.5706051873198847,0.08400724917555485,1326,0.6858895705521473,0.10875946683677373,
19286,0.1,0.001,12,3,3.0,3,20,4,0,125,,True,0.05118765060786695,0.01617983963344788,13,4,852,0.5377855887521968,0.05118765060786695,1013,0.6784615384615384,0.1013314347461649,
19287,0.1,0.001,12,3,3.0,3,20,4,0,125,0.2,True,0.055955253345031764,0.01604991214505469,13,5,847,0.5425531914893617,0.055955253345031764,1012,0.6784615384615384,0.1013314347461649,
6819,0.1,0.001,4,3,12.0,4,0,3,0,125,0.2,True,0.12239294874885542,0.01594054845853954,11,14,939,0.6539162112932605,0.1673182731489306,1028,0.699523052464229,0.12239294874885542,
6866,0.1,0.001,4,3,12.0,4,20,4,0,125,,True,0.13163278288256464,0.01586511604286228,11,17,617,0.6336898395721925,0.1470919014278626,524,0.7087628865979382,0.13163278288256464,
129722,0.15,0.001,12,3,3.0,2,0,3,0,125,,True,0.08236757909704945,0.015854674577147954,14,1,1053,0.5689655172413793,0.08236757909704945,1296,0.6845386533665836,0.10740854965121005,
34071,0.1,0.003,4,3,8.0,4,20,3,0,125,0.2,True,0.1333397565597199,0.01553881399242224,14,1,555,0.6199376947040498,0.1333397565597199,379,0.7172995780590717,0.1401694743436982,
157466,0.15,0.003,12,3,3.0,3,0,1,0,125,,True,0.10914440608854803,0.015521653473124841,14,5,810,0.6471734892787524,0.1605755511344225,951,0.6862745098039216,0.10914440608854803,
