flat,count_2024H1,count_2024H2,count_2025H1,count_2025H2,fp_2024H1,fp_2024H2,fp_2025H1,fp_2025H2
116594,68,96,76,78,0.7166666666666667,0.5384615384615384,0.7884615384615384,0.7916666666666666
116595,68,96,70,78,0.7166666666666667,0.5384615384615384,0.7884615384615384,0.7916666666666666
6867,234,366,260,257,0.7061855670103093,0.6097560975609756,0.7336244541484717,0.6729559748427673
6854,270,471,322,361,0.7085201793721974,0.6238095238095238,0.7298245614035088,0.6706586826347305
6855,262,462,316,360,0.7348837209302326,0.6485148514851485,0.7298245614035088,0.6706586826347305
144218,68,130,65,76,0.7166666666666667,0.5555555555555556,0.8444444444444444,0.7380952380952381
6843,272,575,319,361,0.7053571428571429,0.6713286713286714,0.7298245614035088,0.6706586826347305
6842,280,584,325,362,0.6810344827586207,0.6530612244897959,0.7298245614035088,0.6706586826347305
144219,68,130,59,76,0.7166666666666667,0.5555555555555556,0.8444444444444444,0.7380952380952381
34503,272,447,253,282,0.6227272727272727,0.609375,0.8414096916299559,0.6330935251798561
34515,239,352,211,254,0.5888324873096447,0.56875,0.8064516129032258,0.6492537313432836
117435,180,275,171,340,0.7096774193548387,0.711864406779661,0.7801418439716312,0.6797385620915033
157502,338,341,206,557,0.575187969924812,0.7582417582417582,0.708029197080292,0.6961325966850829
157503,333,341,206,556,0.5862068965517241,0.7582417582417582,0.708029197080292,0.6961325966850829
6831,321,439,344,512,0.6867469879518072,0.5454545454545454,0.7052238805970149,0.6955017301038062
34490,280,494,259,289,0.6008771929824561,0.6103286384976526,0.8414096916299559,0.6330935251798561
117026,95,179,109,176,0.7325581395348837,0.5844155844155844,0.6621621621621622,0.6741573033707865
117434,188,284,177,341,0.6748466257668712,0.6666666666666666,0.7801418439716312,0.6797385620915033
116582,69,108,76,129,0.7166666666666667,0.5681818181818182,0.7884615384615384,0.6825396825396826
117002,96,261,135,231,0.7325581395348837,0.7094017094017094,0.75,0.625
