flat,count_2024H1,count_2024H2,count_2025H1,count_2025H2,fp_2024H1,fp_2024H2,fp_2025H1,fp_2025H2
6434,150,310,203,198,0.72,0.6503496503496503,0.7125748502994012,0.6181818181818182
6435,149,310,197,198,0.7258064516129032,0.6503496503496503,0.7125748502994012,0.6181818181818182
6867,234,366,260,257,0.7061855670103093,0.6097560975609756,0.7336244541484717,0.6729559748427673
6854,270,471,322,361,0.7085201793721974,0.6238095238095238,0.7298245614035088,0.6706586826347305
6855,262,462,316,360,0.7348837209302326,0.6485148514851485,0.7298245614035088,0.6706586826347305
6843,272,575,319,361,0.7053571428571429,0.6713286713286714,0.7298245614035088,0.6706586826347305
6842,280,584,325,362,0.6810344827586207,0.6530612244897959,0.7298245614035088,0.6706586826347305
34503,272,447,253,282,0.6227272727272727,0.609375,0.8414096916299559,0.6330935251798561
34515,239,352,211,254,0.5888324873096447,0.56875,0.8064516129032258,0.6492537313432836
117435,180,275,171,340,0.7096774193548387,0.711864406779661,0.7801418439716312,0.6797385620915033
157502,338,341,206,557,0.575187969924812,0.7582417582417582,0.708029197080292,0.6961325966850829
157503,333,341,206,556,0.5862068965517241,0.7582417582417582,0.708029197080292,0.6961325966850829
6831,321,439,344,512,0.6867469879518072,0.5454545454545454,0.7052238805970149,0.6955017301038062
34490,280,494,259,289,0.6008771929824561,0.6103286384976526,0.8414096916299559,0.6330935251798561
89475,687,829,550,1186,0.5533333333333333,0.598343685300207,0.6432584269662921,0.6714082503556188
6829,461,530,481,634,0.6190476190476191,0.5594405594405595,0.7324324324324324,0.6455026455026455
117434,188,284,177,341,0.6748466257668712,0.6666666666666666,0.7801418439716312,0.6797385620915033
89474,744,853,555,1188,0.5506072874493927,0.5904572564612326,0.6414565826330533,0.6704545454545454
117002,96,261,135,231,0.7325581395348837,0.7094017094017094,0.75,0.625
19718,968,949,760,1515,0.53601108033241,0.6133828996282528,0.6414686825053996,0.6734258271077909
