m,naive,optimism,opt_se,stability,split_half,rep
4,-0.06136778115501512,-0.00602116157440669,0.0028281055803561503,0.875,,0
16,-0.06136778115501512,-0.0008642310518968827,0.002045587171038006,0.6,,0
64,-0.06136778115501512,-0.0007104973774506917,0.0021122766953957694,0.485,-0.15405844155844162,0
256,-0.06830907054871227,0.0062744997797717205,0.0023240335561954878,0.33,-0.15405844155844162,0
1024,-0.07384532760472617,0.014210493177732087,0.0021120831413710267,0.185,-0.15405844155844162,0
4,-0.004647403515861792,-0.0037213810985544027,0.0021046048700693746,0.63,,1
16,-0.018293327693771788,0.005249589769111639,0.002522482499793921,0.165,,1
64,0.003438511326860849,0.0053182143352865675,0.002300957396181227,0.295,,1
256,0.003438511326860849,0.006956202361997755,0.0021176190719883756,0.07,,1
1024,0.0007701193685021313,0.01619626934004851,0.0020826033052217543,0.045,,1
4,-0.021937403993855575,-0.01401832534256437,0.0022055273983484277,0.885,,2
16,-0.032394688644688585,-0.005457688151333902,0.0023665842012712325,0.685,,2
64,-0.04099069868051042,0.008692907015386194,0.0021979854616278787,0.115,,2
256,-0.048528765920070216,0.014432878302515028,0.0022451864977193507,0.025,-0.12746323176006918,2
1024,-0.037779850746268606,0.01914857939503529,0.0022020613041173966,0.02,-0.12746323176006918,2
4,-0.06208604503829984,-0.0025500597131759687,0.002464887125473485,0.695,,3
16,-0.049333405300372446,-0.004936353735080588,0.0024369064875471185,0.61,,3
64,-0.049333405300372446,0.0028689984438620723,0.002202601690081735,0.315,-0.03360528360528364,3
256,-0.049333405300372446,0.007815924085021695,0.0021382260071898373,0.155,-0.03360528360528364,3
1024,-0.04675473268150615,0.014231399924586803,0.002211447092274121,0.01,-0.03360528360528364,3
4,0.0,-0.0012080835092372485,0.0021894282284523037,0.835,,4
16,-0.02679175935777156,0.009185534422939132,0.0024257126171364075,0.345,-0.06282834269561702,4
64,-0.02679175935777156,0.019424959158094036,0.002507260898738829,0.195,-0.06425936711318186,4
256,-0.0048505885232406065,0.014842054348609196,0.0024003434461835954,0.095,-0.09516977522716402,4
1024,-0.008895370032810823,0.022594371735424827,0.002488802655527578,0.075,-0.09516977522716402,4
4,-0.06486633933442437,0.001991167311128843,0.0025653572793570027,0.36,,5
16,-0.05789473684210522,0.0028960393458148164,0.002162522762548221,0.175,,5
64,-0.05710325710325703,0.011839917273427085,0.0022204051635612994,0.23,,5
256,-0.051980466630493716,0.013435281013329792,0.0021496206767087286,0.015,-0.07637880986937595,5
1024,-0.05117311350665815,0.021371189980562855,0.0021619551578403984,0.025,-0.07637880986937595,5
4,-0.015458000663214455,0.0002445765507794423,0.002736095033443619,0.85,,6
16,-0.03550696342574511,0.013660908664156,0.0025878503746220214,0.39,,6
64,-0.03550696342574511,0.01547176695908139,0.002418510890652372,0.26,-0.009615384615384581,6
256,-0.03550696342574511,0.019392306023680375,0.0023663088792540794,0.15,-0.014565879664889536,6
1024,-0.03807106598984766,0.022048031528799937,0.0023329553821715724,0.025,-0.014565879664889536,6
4,-0.033698597855543744,-0.017536848822501696,0.003113983682521487,0.795,,7
16,-0.04045893719806759,0.008611733236678201,0.002669472471556037,0.18,,7
64,-0.04045893719806759,0.012659957500522779,0.0022722516878683446,0.13,-0.16119852695011722,7
256,-0.04045893719806759,0.013763350921351298,0.0022670024117136993,0.07,-0.15416666666666662,7
1024,-0.043406157617708496,0.01793096463347331,0.002309643876140083,0.03,,7
