symbol,bars,n_pk_high,n_pk_close,n_pk_shared,n_pk_high_only,n_pk_close_only,mean_price_ratio,n_bo_high,n_bo_close,n_bo_shared,n_bo_high_only,n_bo_close_only,mean_dist_close_only
SACH,366,7,5,1,6,4,1.016260146842582,3,4,2,1,2,1.0
THMG,366,16,15,3,13,12,1.0144927395389154,11,13,7,4,6,2.25
TDACU,300,0,0,0,0,0,,0,0,0,0,0,
BKT,366,0,0,0,0,0,,0,0,0,0,0,
MBLY,366,15,12,8,7,4,1.043811400281396,9,8,4,5,4,4.0
NEPH,366,14,10,5,9,5,1.0261960453912982,7,8,3,4,5,3.0
ALYAF,366,12,12,3,9,9,1.0043010969357162,6,9,5,1,4,5.111111111111111
XYF,366,11,11,4,7,7,1.0471268700439391,7,10,3,4,7,2.4285714285714284
LPRO,366,13,9,2,11,7,1.0185139659927507,4,4,2,2,2,1.2857142857142858
BR,366,0,0,0,0,0,,0,0,0,0,0,
FMTOF,366,12,12,7,5,5,1.1164670325379036,2,3,1,1,2,5.0
HSCT,366,3,3,3,0,0,1.0296864562194925,2,2,2,0,0,
CMGMF,366,5,6,4,1,2,1.0114025689196595,3,5,3,0,2,5.5
KTEL,366,12,13,7,5,6,1.0388306291921847,3,4,3,0,1,3.3333333333333335
NIKA,366,9,9,8,1,1,1.0,3,5,3,0,2,1.0
ATRO,366,13,14,6,7,8,1.0231553543207208,10,16,6,4,10,2.875
EVTL,366,15,15,5,10,10,1.0486473025450849,8,9,8,0,1,1.1
FMS,366,1,0,0,1,0,,2,0,0,2,0,
NIPG,366,13,13,3,10,10,1.019392580605657,2,3,2,0,1,8.0
OMTK,366,12,12,9,3,3,1.0222222172551687,1,2,1,0,1,13.0
MSB,366,11,8,4,7,4,1.020866806156511,9,8,5,4,3,5.75
PREJF,366,0,0,0,0,0,,0,0,0,0,0,
GMBLP,366,18,19,12,6,7,1.0888648438606223,4,5,3,1,2,4.142857142857143
BIO-B,366,0,0,0,0,0,,0,0,0,0,0,
EXOD,366,16,16,12,4,4,1.0730192439104496,6,8,5,1,3,6.75
CYH,366,12,11,8,4,3,1.0306622246223331,6,8,4,2,4,1.0
ASTE,366,9,5,3,6,2,1.0054521567427281,8,6,5,3,1,1.5
PODD,366,5,3,1,4,2,1.0134203174669238,4,3,2,2,1,1.0
CYRX,366,19,17,6,13,11,1.0243968255534075,10,15,8,2,7,2.3636363636363638
OUT,366,1,1,1,0,0,1.0065867483818947,2,2,1,1,1,
LH,366,2,0,0,2,0,,2,0,0,2,0,
HVII,271,0,0,0,0,0,,0,0,0,0,0,
GLXY,202,8,8,4,4,4,1.037806791976655,5,6,3,2,3,1.5
