symbol,variant,dpk,tb_start,tb_end,date,mfr,fp_up,fp_down,fp_both,fp_none
ELBM,base_high,3,623,623,2024-02-13,0.17741937654695672,0,0,0,1
ELBM,base_close,3,623,623,2024-02-13,0.17741937654695672,0,0,0,1
ELBM,base_close,4,628,628,2024-02-21,0.012307717701388166,0,1,0,0
ELBM,wrap_high,3,623,623,2024-02-13,0.17741937654695672,0,0,0,1
ELBM,union_naive,6,623,623,2024-02-13,0.17741937654695672,0,0,0,1
ELBM,union_naive,7,628,628,2024-02-21,0.012307717701388166,0,1,0,0
ELBM,union_bybar,4,623,623,2024-02-13,0.17741937654695672,0,0,0,1
ELBM,union_bybar,5,628,628,2024-02-21,0.012307717701388166,0,1,0,0
ELBM,union_nbhd,3,623,623,2024-02-13,0.17741937654695672,0,0,0,1
ELBM,union_nbhd,4,628,628,2024-02-21,0.012307717701388166,0,1,0,0
ELBM,base_high_nbhd,3,623,623,2024-02-13,0.17741937654695672,0,0,0,1
ELBM,inter,4,623,623,2024-02-13,0.17741937654695672,0,0,0,1
GDS,union_naive,3,1104,1105,2026-01-14,,0,0,0,0
BHF,base_close,4,865,865,2025-01-31,0.039053697907374785,0,1,0,0
BHF,union_naive,3,865,865,2025-01-31,0.039053697907374785,0,1,0,0
BHF,union_naive,6,865,865,2025-01-31,0.039053697907374785,0,1,0,0
BHF,union_bybar,5,865,865,2025-01-31,0.039053697907374785,0,1,0,0
BHF,union_nbhd,4,865,865,2025-01-31,0.039053697907374785,0,1,0,0
BHF,inter,5,865,865,2025-01-31,0.039053697907374785,0,1,0,0
KOD,base_high,5,453,458,2023-06-09,0.03083385881541782,0,6,0,0
KOD,base_high,4,802,806,2024-10-29,1.9872374260209462,5,0,0,0
KOD,base_close,5,453,458,2023-06-09,0.03083385881541782,0,6,0,0
KOD,wrap_high,5,453,458,2023-06-09,0.03083385881541782,0,6,0,0
KOD,wrap_high,4,802,806,2024-10-29,1.9872374260209462,5,0,0,0
KOD,union_naive,10,453,458,2023-06-09,0.03083385881541782,0,6,0,0
KOD,union_naive,8,802,806,2024-10-29,1.9872374260209462,5,0,0,0
KOD,union_bybar,6,453,458,2023-06-09,0.03083385881541782,0,6,0,0
KOD,union_bybar,5,802,806,2024-10-29,1.9872374260209462,5,0,0,0
KOD,union_nbhd,5,453,458,2023-06-09,0.03083385881541782,0,6,0,0
KOD,union_nbhd,5,802,806,2024-10-29,1.9872374260209462,5,0,0,0
KOD,base_high_nbhd,5,453,458,2023-06-09,0.03083385881541782,0,6,0,0
KOD,base_high_nbhd,4,802,806,2024-10-29,1.9872374260209462,5,0,0,0
KOD,inter,6,453,458,2023-06-09,0.03083385881541782,0,6,0,0
DFIN,base_high,3,368,370,2023-02-07,0.020881089438139416,0,3,0,0
DFIN,base_close,3,368,370,2023-02-07,0.020881089438139416,0,3,0,0
DFIN,wrap_high,3,368,370,2023-02-07,0.020881089438139416,0,3,0,0
DFIN,union_naive,4,363,363,2023-01-31,0.1045823370737049,0,1,0,0
DFIN,union_naive,6,368,370,2023-02-07,0.020881089438139416,0,3,0,0
DFIN,union_naive,3,523,526,2023-09-20,0.09487386390721358,0,0,0,4
DFIN,union_naive,3,523,526,2023-09-20,0.09487386390721358,0,0,0,4
DFIN,union_naive,4,533,539,2023-10-04,0.08870344507871485,0,0,0,7
DFIN,union_bybar,4,368,370,2023-02-07,0.020881089438139416,0,3,0,0
DFIN,union_bybar,3,523,526,2023-09-20,0.09487386390721358,0,0,0,4
DFIN,union_bybar,3,523,526,2023-09-20,0.09487386390721358,0,0,0,4
DFIN,union_bybar,4,533,539,2023-10-04,0.08870344507871485,0,0,0,7
DFIN,union_nbhd,3,368,370,2023-02-07,0.020881089438139416,0,3,0,0
DFIN,base_high_nbhd,3,368,370,2023-02-07,0.020881089438139416,0,3,0,0
DFIN,inter,3,523,526,2023-09-20,0.09487386390721358,0,0,0,4
RLFTF,base_high,4,769,769,2024-09-12,1.6206895361048752,1,0,0,0
RLFTF,base_high,5,769,769,2024-09-12,1.6206895361048752,1,0,0,0
RLFTF,base_high,6,769,769,2024-09-12,1.6206895361048752,1,0,0,0
RLFTF,base_high,7,769,769,2024-09-12,1.6206895361048752,1,0,0,0
RLFTF,base_close,5,769,769,2024-09-12,1.6206895361048752,1,0,0,0
RLFTF,base_close,6,769,769,2024-09-12,1.6206895361048752,1,0,0,0
RLFTF,base_close,7,769,769,2024-09-12,1.6206895361048752,1,0,0,0
RLFTF,base_close,8,769,769,2024-09-12,1.6206895361048752,1,0,0,0
RLFTF,wrap_high,4,769,769,2024-09-12,1.6206895361048752,1,0,0,0
