symbol,match_id,tb_id,bo_id,burst_id,group,n_burst_variants,is_rep,own_burst_exists,own_burst_qualified,burst_count,bo_rank_in_burst,bars_bo_to_burst_end,first_bo_idx,last_bo_idx,tb_start,tb_end,tb_date,first_drought,distinct_pk,max_bar_vol_ratio,peak_age_max,fr,dd,fp_up,fp_down,fp_both,fp_none,n_buy_bars,fp4_up,fp4_down,fp6_up,fp6_down,atr_pct,close_at_buy
AIIO,bb_v1@156-162#bo:bo_156#0|burst:burst_156_162#0|tb:tb_160_161#0,tb_160_161#0,bo_156#0,burst_156_162#0,新增,2,1,1,0,3,1,6,156,162,160,161,2025-05-12,118,4,25.019502780669903,84,4.453997936627967,0.029159685273346003,2,0,0,0,2,2,0,2,0,0.11680196805912599,12.020000457763672
AIIO,bb_v1@156-164#bo:bo_156#0|burst:burst_156_164#0|tb:tb_160_161#0,tb_160_161#0,bo_156#0,burst_156_164#0,新增,2,0,1,0,4,1,8,156,164,160,161,2025-05-12,118,7,25.019502780669903,126,4.453997936627967,0.029159685273346003,2,0,0,0,2,2,0,2,0,0.11680196805912599,12.020000457763672
AIIO,bb_v1@156-162#bo:bo_157#0|burst:burst_156_162#0|tb:tb_160_161#1,tb_160_161#1,bo_157#0,burst_156_162#0,新增,2,1,1,0,3,2,5,156,162,160,161,2025-05-12,118,4,25.019502780669903,84,4.453997936627967,0.029159685273346003,2,0,0,0,2,2,0,2,0,0.11680196805912599,12.020000457763672
AIIO,bb_v1@156-164#bo:bo_157#0|burst:burst_156_164#0|tb:tb_160_161#1,tb_160_161#1,bo_157#0,burst_156_164#0,新增,2,0,1,0,4,2,7,156,164,160,161,2025-05-12,118,7,25.019502780669903,126,4.453997936627967,0.029159685273346003,2,0,0,0,2,2,0,2,0,0.11680196805912599,12.020000457763672
AIFA,bb_v1@151-160#bo:bo_151#0|burst:burst_151_160#0|tb:tb_158_159#0,tb_158_159#0,bo_151#0,burst_151_160#0,新增,1,1,1,0,4,1,9,151,160,158,159,2025-05-08,61,3,59.24075990642943,137,1.7881213261817588,0.01030452812913557,2,0,0,0,2,2,0,2,0,0.08346504966465496,7.980000019073486
AIFA,bb_v1@151-160#bo:bo_152#0|burst:burst_151_160#0|tb:tb_158_159#1,tb_158_159#1,bo_152#0,burst_151_160#0,新增,1,1,1,0,4,2,8,151,160,158,159,2025-05-08,61,3,59.24075990642943,137,1.7881213261817588,0.01030452812913557,2,0,0,0,2,2,0,2,0,0.08346504966465496,7.980000019073486
AIFA,bb_v1@151-160#bo:bo_154#0|burst:burst_151_160#0|tb:tb_158_159#2,tb_158_159#2,bo_154#0,burst_151_160#0,新增,1,1,1,0,4,3,6,151,160,158,159,2025-05-08,61,3,59.24075990642943,137,1.7881213261817588,0.01030452812913557,2,0,0,0,2,2,0,2,0,0.08346504966465496,7.980000019073486
AIFA,bb_v1@151-164#bo:bo_160#0|burst:burst_151_160#0|tb:tb_162_164#0,tb_162_164#0,bo_160#0,burst_151_160#0,原有,1,1,1,1,4,4,0,151,160,162,164,2025-05-14,61,3,59.24075990642943,137,1.1380952140136376,-0.1388069066630675,3,0,0,0,3,3,0,3,0,0.09061902144238189,10.680000305175781
ALOT,bb_v1@193-199#bo:bo_193#0|burst:burst_193_195#0|tb:tb_198_199#0,tb_198_199#0,bo_193#0,burst_193_195#0,新增,1,1,1,0,2,1,2,193,195,198,199,2025-07-08,148,3,7.22124424884977,91,0.04010933994149268,-0.13006255131536082,0,0,0,2,2,0,2,0,0,0.031532385763586766,11.710000038146973
ALOT,bb_v1@193-199#bo:bo_195#0|burst:burst_193_195#0|tb:tb_198_199#1,tb_198_199#1,bo_195#0,burst_193_195#0,原有,1,1,1,1,2,2,0,193,195,198,199,2025-07-08,148,3,7.22124424884977,91,0.04010933994149268,-0.13006255131536082,0,0,0,2,2,0,2,0,0,0.031532385763586766,11.710000038146973
ALT,bb_v1@180-185#bo:bo_182#0|burst:burst_180_182#0|tb:tb_185#0,tb_185#0,bo_182#0,burst_180_182#0,原有,2,1,1,1,2,2,0,180,182,185,185,2025-06-17,144,3,3.11892041708277,79,0.12191584453779569,-0.5791001231402572,0,1,0,0,1,0,1,0,1,0.06284296283918349,6.889999866485596
ALT,bb_v1@180-190#bo:bo_182#0|burst:burst_180_190#0|tb:tb_185#0,tb_185#0,bo_182#0,burst_180_190#0,原有,2,0,1,1,3,2,8,180,190,185,185,2025-06-17,144,4,3.11892041708277,104,0.12191584453779569,-0.5791001231402572,0,1,0,0,1,0,1,0,1,0.06284296283918349,6.889999866485596
ABAT,bb_v1@249-255#bo:bo_249#0|burst:burst_249_252#0|tb:tb_255#0,tb_255#0,bo_249#0,burst_249_252#0,新增,2,1,1,0,2,1,3,249,252,255,255,2025-09-26,45,4,3.2110749363741666,183,1.6232875504353261,-0.2625570925388486,1,0,0,0,1,1,0,1,0,0.07931434644591516,4.380000114440918
ABAT,bb_v1@249-255#bo:bo_249#0|burst:burst_249_253#0|tb:tb_255#0,tb_255#0,bo_249#0,burst_249_253#0,新增,2,0,1,0,3,1,4,249,253,255,255,2025-09-26,45,4,3.2110749363741666,184,1.6232875504353261,-0.2625570925388486,1,0,0,0,1,1,0,1,0,0.07931434644591516,4.380000114440918
ABAT,bb_v1@249-255#bo:bo_252#0|burst:burst_249_252#0|tb:tb_255#1,tb_255#1,bo_252#0,burst_249_252#0,原有,2,1,1,1,2,2,0,249,252,255,255,2025-09-26,45,4,3.2110749363741666,183,1.6232875504353261,-0.2625570925388486,1,0,0,0,1,1,0,1,0,0.07931434644591516,4.380000114440918
ABAT,bb_v1@249-255#bo:bo_252#0|burst:burst_249_253#0|tb:tb_255#1,tb_255#1,bo_252#0,burst_249_253#0,原有,2,0,1,1,3,2,1,249,253,255,255,2025-09-26,45,4,3.2110749363741666,184,1.6232875504353261,-0.2625570925388486,1,0,0,0,1,1,0,1,0,0.07931434644591516,4.380000114440918
ABAT,bb_v1@249-255#bo:bo_253#0|burst:burst_249_253#0|tb:tb_255#2,tb_255#2,bo_253#0,burst_249_253#0,原有,1,1,1,1,3,3,0,249,253,255,255,2025-09-26,45,4,3.2110749363741666,184,1.6232875504353261,-0.2625570925388486,1,0,0,0,1,1,0,1,0,0.07931434644591516,4.380000114440918
ABOS,bb_v1@254-263#bo:bo_256#0|burst:burst_254_261#0|tb:tb_263#0,tb_263#0,bo_256#0,burst_254_261#0,新增,2,1,1,0,4,2,5,254,261,263,263,2025-10-08,47,4,4.052056704624681,177,0.3085106619076796,-0.20212765755077033,0,0,0,1,1,1,0,0,0,0.07067997927223782,1.8799999952316284
ABOS,bb_v1@254-264#bo:bo_256#0|burst:burst_254_264#0|tb:tb_263#0,tb_263#0,bo_256#0,burst_254_264#0,新增,2,0,1,0,5,2,8,254,264,263,263,2025-10-08,47,5,4.052056704624681,190,0.3085106619076796,-0.20212765755077033,0,0,0,1,1,1,0,0,0,0.07067997927223782,1.8799999952316284
ABOS,bb_v1@254-263#bo:bo_257#0|burst:burst_254_261#0|tb:tb_263#1,tb_263#1,bo_257#0,burst_254_261#0,新增,2,1,1,0,4,3,4,254,261,263,263,2025-10-08,47,4,4.052056704624681,177,0.3085106619076796,-0.20212765755077033,0,0,0,1,1,1,0,0,0,0.07067997927223782,1.8799999952316284
ABOS,bb_v1@254-264#bo:bo_257#0|burst:burst_254_264#0|tb:tb_263#1,tb_263#1,bo_257#0,burst_254_264#0,新增,2,0,1,0,5,3,7,254,264,263,263,2025-10-08,47,5,4.052056704624681,190,0.3085106619076796,-0.20212765755077033,0,0,0,1,1,1,0,0,0,0.07067997927223782,1.8799999952316284
ABOS,bb_v1@254-263#bo:bo_261#0|burst:burst_254_261#0|tb:tb_263#2,tb_263#2,bo_261#0,burst_254_261#0,原有,2,1,1,1,4,4,0,254,261,263,263,2025-10-08,47,4,4.052056704624681,177,0.3085106619076796,-0.20212765755077033,0,0,0,1,1,1,0,0,0,0.07067997927223782,1.8799999952316284
ABOS,bb_v1@254-264#bo:bo_261#0|burst:burst_254_264#0|tb:tb_263#2,tb_263#2,bo_261#0,burst_254_264#0,原有,2,0,1,1,5,4,3,254,264,263,263,2025-10-08,47,5,4.052056704624681,190,0.3085106619076796,-0.20212765755077033,0,0,0,1,1,1,0,0,0,0.07067997927223782,1.8799999952316284
