symbol,variant,tb_id,bo_id,burst_id,group,burst_end,tb_start,causal_gap,n_bo_after,tb_date,fr,dd,fp4_up,fp4_down,fp_up,fp_down,fp6_up,fp6_down,n_buy_bars,atr_pct
ACIC,cur,tb_288_289#0,bo_285#0,burst_277_285#0,原有,285,288,3,0,2024-11-08,0.13608736864518123,-0.0774726786832613,0,0,0,0,0,0,2,0.046082562637094315
ACIC,cur,tb_288_289#1,bo_286#0,burst_277_286#0,原有,286,288,2,0,2024-11-08,0.13608736864518123,-0.0774726786832613,0,0,0,0,0,0,2,0.046082562637094315
ACIC,wide,tb_288_289#0,bo_285#0,burst_277_285#0,原有,285,288,3,0,2024-11-08,0.13608736864518123,-0.0774726786832613,0,0,0,0,0,0,2,0.046082562637094315
ACIC,wide,tb_288_289#1,bo_286#0,burst_277_286#0,原有,286,288,2,0,2024-11-08,0.13608736864518123,-0.0774726786832613,0,0,0,0,0,0,2,0.046082562637094315
ACIC,causal,tb_288_289#0,bo_285#0,burst_277_285#0,原有,285,288,3,0,2024-11-08,0.13608736864518123,-0.0774726786832613,0,0,0,0,0,0,2,0.046082562637094315
ACIC,causal,tb_288_289#1,bo_286#0,burst_277_286#0,原有,286,288,2,0,2024-11-08,0.13608736864518123,-0.0774726786832613,0,0,0,0,0,0,2,0.046082562637094315
AIP,cur,tb_314#0,bo_310#0,burst_300_310#0,原有,310,314,4,0,2024-12-17,0.2640000343322755,-0.1279999732971191,1,0,1,0,0,0,1,0.05171594377438808
AIP,wide,tb_307#0,bo_305#0,burst_300_310#0,新增,310,307,-3,1,2024-12-06,0.40600674806809334,-0.04115682925240627,1,0,1,0,1,0,1,0.05030309022308495
AIP,wide,tb_314#0,bo_310#0,burst_300_310#0,原有,310,314,4,0,2024-12-17,0.2640000343322755,-0.1279999732971191,1,0,1,0,0,0,1,0.05171594377438808
AIP,causal,tb_314#0,bo_310#0,burst_300_310#0,原有,310,314,4,0,2024-12-17,0.2640000343322755,-0.1279999732971191,1,0,1,0,0,0,1,0.05171594377438808
ACHR,wide,tb_292#0,bo_288#0,burst_288_295#0,新增,295,292,-3,1,2024-11-14,1.9079255227035623,-0.05594400308910452,1,0,1,0,1,0,1,0.07169691097632461
ACHR,wide,tb_292#1,bo_289#0,burst_288_295#0,新增,295,292,-3,1,2024-11-14,1.9079255227035623,-0.05594400308910452,1,0,1,0,1,0,1,0.07169691097632461
ALGS,cur,tb_112#0,bo_109#0,burst_107_109#0,原有,109,112,3,0,2024-02-29,0.21212121212121215,-0.26262626262626265,0,1,0,0,0,0,1,0.07539914515323873
ALGS,wide,tb_112#0,bo_109#0,burst_107_109#0,原有,109,112,3,0,2024-02-29,0.21212121212121215,-0.26262626262626265,0,1,0,0,0,0,1,0.07539914515323873
ALGS,causal,tb_112#0,bo_109#0,burst_107_109#0,原有,109,112,3,0,2024-02-29,0.21212121212121215,-0.26262626262626265,0,1,0,0,0,0,1,0.07539914515323873
AAOI,cur,tb_250_254#0,bo_247#0,burst_238_247#0,原有,247,250,3,0,2024-09-17,1.1126632521609234,-0.09882521563380646,5,0,5,0,5,0,5,0.08771660677984355
AAOI,cur,tb_259#0,bo_255#0,burst_238_255#0,原有,255,259,4,0,2024-09-30,1.7679943709891615,-0.13207549181702805,1,0,1,0,1,0,1,0.09229724871970682
