symbol,tb_id,group,causal,n_burst,tb_start,tb_date,anchor_idx,burst_end_max,burst_end_min,n_bo_after,pos_from_end,first_drought,distinct_pk,vol_spike,peak_age,fr,dd,fp_up,fp_down,fp_both,fp_none,up4,dn4,up6,dn6,n_buy_bars,atr_pct
AIFA,tb_158_159#0,新增,False,1,158,2025-05-08,151,160,160,1,3,61,3,59.24075990642943,137,1.7881213261817588,0.01030452812913557,2,0,0,0,2,0,2,0,2,0.08346504966465496
AIFA,tb_158_159#1,新增,False,1,158,2025-05-08,152,160,160,1,2,61,3,59.24075990642943,137,1.7881213261817588,0.01030452812913557,2,0,0,0,2,0,2,0,2,0.08346504966465496
AIFA,tb_158_159#2,新增,False,1,158,2025-05-08,154,160,160,1,1,61,3,59.24075990642943,137,1.7881213261817588,0.01030452812913557,2,0,0,0,2,0,2,0,2,0.08346504966465496
AIFA,tb_162_164#0,原有,True,1,162,2025-05-14,160,160,160,0,0,61,3,59.24075990642943,137,1.1380952140136376,-0.1388069066630675,3,0,0,0,3,0,3,0,3,0.09061902144238189
AIIO,tb_160_161#0,新增,False,2,160,2025-05-12,156,164,162,2,3,118,7,25.019502780669903,126,4.453997936627967,0.029159685273346003,2,0,0,0,2,0,2,0,2,0.11680196805912599
AIIO,tb_160_161#1,新增,False,2,160,2025-05-12,157,164,162,2,2,118,7,25.019502780669903,126,4.453997936627967,0.029159685273346003,2,0,0,0,2,0,2,0,2,0.11680196805912599
ACMR,tb_97_101#0,新增,False,2,97,2025-02-10,95,108,103,2,2,70,3,3.8844609363086464,96,0.3175004841062051,-0.2666479699997572,5,0,0,0,5,0,5,0,5,0.042864290953282605
ACMR,tb_112_117#0,原有,True,2,112,2025-03-04,103,108,103,0,1,70,3,3.8844609363086464,96,0.1580222837201257,-0.36429716557524877,0,6,0,0,0,6,0,6,6,0.057200398922108195
ACMR,tb_112_119#0,原有,True,1,112,2025-03-04,108,108,108,0,0,70,3,3.8844609363086464,96,0.14736669126676735,-0.37014661287890016,0,8,0,0,0,8,0,8,8,0.057200398922108195
ACOG,tb_121_122#0,新增,True,3,121,2025-05-09,118,127,119,2,3,98,5,9.709485119801139,106,0.5416568151245839,-0.11962201837731123,0,0,0,2,2,0,0,0,2,0.11647760739407483
ACOG,tb_121_122#1,原有,True,3,121,2025-05-09,119,127,119,2,2,98,5,9.709485119801139,106,0.5416568151245839,-0.11962201837731123,0,0,0,2,2,0,0,0,2,0.11647760739407483
ACOG,tb_131_132#0,原有,True,2,131,2025-05-23,126,127,126,0,1,98,5,9.709485119801139,106,0.28548603445737286,-0.15674787403135776,0,0,0,2,0,0,0,0,2,0.09395420640451538
ACOG,tb_131_132#1,原有,True,1,131,2025-05-23,127,127,127,0,0,98,5,9.709485119801139,106,0.28548603445737286,-0.15674787403135776,0,0,0,2,0,0,0,0,2,0.09395420640451538
ABAT,tb_255#0,新增,True,2,255,2025-09-26,249,253,252,0,2,45,4,3.2110749363741666,184,1.6232875504353261,-0.2625570925388486,1,0,0,0,1,0,1,0,1,0.07931434644591516
ABAT,tb_255#1,原有,True,2,255,2025-09-26,252,253,252,0,1,45,4,3.2110749363741666,184,1.6232875504353261,-0.2625570925388486,1,0,0,0,1,0,1,0,1,0.07931434644591516
