symbol,tb_id,bo_id,bo_idx,tb_end,first_bo_idx,burst_count,bo_drought,bo_vol_ratio,atr,m2_depth_rel,m2_depth_atr,m1_burst_runup,entry_idx,entry_date,c0_atr_pct,label,v_median20,v_median10,v_wilder20,tr_median_raw_20,tr_median_raw_10,atr_wilder_raw_20,c_close_t
ABAT,tb_255#1,bo_252#0,252,255,249,2,3.0,2.7922497696656268,0.29228975799206236,0.1814595749791607,3.1475617983129247,0.699588477770019,255,2025-09-26,0.08644209683455228,1.6232875504353261,0.07931434644591516,0.1331238366923608,0.07938079769637205,0.19499993324279785,0.5374999046325684,0.3476879029945209,4.380000114440918
ABAT,tb_255#2,bo_253#0,253,255,249,3,1.0,3.1433109724428157,0.31391190314917583,0.1814595749791607,2.9307588118337358,0.9341562469737765,255,2025-09-26,0.08644209683455228,1.6232875504353261,0.07931434644591516,0.1331238366923608,0.07938079769637205,0.19499993324279785,0.5374999046325684,0.3476879029945209,4.380000114440918
ABOS,tb_263#2,bo_261#0,261,263,254,4,4.0,1.8117173742907455,0.1311489185759032,0.11428566725075437,1.8299799413790232,0.5275591231152259,263,2025-10-08,0.08066697357531909,0.3085106619076796,0.07067997927223782,0.122797906854113,0.07227741457415246,0.10750001668930054,0.20500004291534424,0.13588153905476105,1.8799999952316284
ABOS,tb_267_269#0,bo_264#0,264,269,254,5,3.0,3.752187324733595,0.14725006161135346,0.14468082041155308,2.3089967532013342,0.7716535699146536,267,2025-10-14,0.08057346779604606,0.09655699145755355,0.07958029893572184,0.09893190187971361,0.0703743794838643,0.14000004529953003,0.19499999284744263,0.16397229882826475,2.3299999237060547
ABUS,tb_246#2,bo_237#0,237,246,235,3,1.0,3.4319509597950906,0.11532152219125749,0.14313726131845478,6.330128194655651,0.04657529683112327,246,2025-09-15,0.05138373563856201,0.0927151390738139,0.04349485312004129,0.07937674846344847,0.04462488938739531,0.16499996185302734,0.35500001907348633,0.20215075828757514,4.53000020980835
ABUS,tb_246#3,bo_240#0,240,246,235,4,3.0,3.4443325461869705,0.14540137601862302,0.14313726131845478,5.020585355258178,0.1506848491855557,246,2025-09-15,0.05138373563856201,0.0927151390738139,0.04349485312004129,0.07937674846344847,0.04462488938739531,0.16499996185302734,0.35500001907348633,0.20215075828757514,4.53000020980835
ACFN,tb_219_224#0,bo_212#0,212,224,212,1,54.0,28.11778846153846,0.7630521641995126,0.13033561193852308,5.242105569802347,0.22284121615518915,219,2025-08-06,0.06783376181846941,0.10736076060337496,0.06917495749568961,0.10401094388119873,0.057101485302703675,1.265000343322754,2.7100000381469727,1.6913460425875564,29.6200008392334
ACHR,tb_170_172#1,bo_163#0,163,172,154,3,2.0,1.5214386905539063,0.7298576224738959,0.2334770102145918,4.452923282466972,0.4375000281154,170,2025-05-27,0.07671231138834446,0.2688300480883674,0.05904162335558703,0.06940570537224454,0.07258456721544054,0.629000186920166,0.7975001335144043,0.7926234795303737,10.920000076293945
ACHR,tb_170_172#2,bo_164#0,164,172,154,4,1.0,2.600174267442869,0.7320106657887486,0.2334770102145918,4.439826018789075,0.5683963335719018,170,2025-05-27,0.07671231138834446,0.2688300480883674,0.05904162335558703,0.06940570537224454,0.07258456721544054,0.629000186920166,0.7975001335144043,0.7926234795303737,10.920000076293945
ACMR,tb_112_117#0,bo_103#0,103,117,90,3,8.0,2.3829250210614994,1.027832801757614,0.16550278883146124,4.611644776283335,0.5125858825208516,112,2025-03-04,0.07303929019197047,0.1580222837201257,0.057200398922108195,0.09234962234335413,0.06348806262939598,1.4200000762939453,2.332500457763672,1.6214851776798305,25.540000915527344
ACMR,tb_112_119#0,bo_108#0,108,119,90,4,5.0,3.8844609363086464,1.3636249993044625,0.16550278883146124,3.4760288008329803,0.5840961818763903,112,2025-03-04,0.07303929019197047,0.14736669126676735,0.057200398922108195,0.09234962234335413,0.06348806262939598,1.4200000762939453,2.332500457763672,1.6214851776798305,25.540000915527344
ACOG,tb_121_122#1,bo_119#0,119,122,118,2,1.0,3.546900309232808,0.6432027989653936,0.16589219402929845,2.2201395510002286,0.10798809430766498,121,2025-05-09,0.09309519227469981,0.5416568151245839,0.11647760739407483,0.08789839551830862,0.08653775530178577,0.5399999618530273,0.5049998760223389,0.6429755070370781,7.429999828338623
ACOG,tb_131_132#0,bo_126#0,126,132,118,3,7.0,9.709485119801139,0.6554565278983935,0.24605258292658563,4.279459021478059,0.27958569906159014,131,2025-05-23,0.11851753259248844,0.28548603445737286,0.09395420640451538,0.10401632281383505,0.09987894377117366,0.8100001811981201,0.8764996528625488,0.9128935803592413,9.140000343322754
ACOG,tb_131_132#1,bo_127#0,127,132,118,4,1.0,4.500273185341077,0.8136382303625255,0.24605258292658563,3.4474773269339454,0.47928989074222095,131,2025-05-23,0.11851753259248844,0.28548603445737286,0.09395420640451538,0.10401632281383505,0.09987894377117366,0.8100001811981201,0.8764996528625488,0.9128935803592413,9.140000343322754
ADCT,tb_177_184#0,bo_165#0,165,184,162,2,3.0,3.7433117791512016,0.1330079182001173,0.1662337356724364,4.811742602592147,0.7727271372621765,177,2025-06-05,0.08793814232201286,0.08760844679378332,0.11662330891023376,0.12682503951895324,0.07535375658593221,0.3270000219345093,0.3749999403953552,0.25921692696738335,3.440000057220459
ADNH,tb_229#0,bo_227#0,227,229,223,2,4.0,2.2848046120121497,0.5148555800690937,0.15427884704265662,1.4916806879745657,1.2193876632498202,229,2025-08-20,0.12770430100531377,0.3794642415239802,0.09737971561368106,0.20331911787661644,0.1052607930747238,0.2099999189376831,0.7649999856948853,0.4715683549824529,4.480000019073486
ADUR,tb_167#0,bo_165#0,165,167,154,3,7.0,4.11889900128866,0.4381676353869247,0.08520790685065799,1.4263947163694384,0.36982585575205795,167,2025-05-21,0.06978359483409559,0.710344774969693,0.08228098763916682,0.08634184727060466,0.06272176355578772,0.4649999141693115,0.6100001335144043,0.45473278577946097,7.25
AGMRF,tb_213_220#0,bo_200#0,200,220,197,3,2.0,7.625320017418518,0.0476852139705264,0.34180505416405366,9.927605589651115,0.9914346722893288,213,2025-07-29,0.12945048427907452,1.2585493063858397,0.1612922614024801,0.15852761619472028,0.1001680775517496,0.13989999890327454,0.16710001230239868,0.10918320787487737,1.090000033378601
AGMRF,tb_213_221#0,bo_201#0,201,221,197,4,1.0,7.33680994581977,0.061816985063325544,0.34180505416405366,7.6580893790364355,1.351177797972166,213,2025-07-29,0.12945048427907452,1.2409327057495163,0.1612922614024801,0.15852761619472028,0.1001680775517496,0.13989999890327454,0.16710001230239868,0.10918320787487737,1.090000033378601
AIFA,tb_162_164#0,bo_160#0,160,164,151,4,6.0,59.24075990642943,0.665420818358202,0.34968557072141293,7.520054265966211,0.5963302203789704,162,2025-05-14,0.11063305947610735,1.1380952140136376,0.09061902144238189,0.12955970998403982,0.089462316050642,0.6000001430511475,1.0799996852874756,0.9554575627225889,10.680000305175781
ALOT,tb_198_199#1,bo_195#0,195,199,193,2,2.0,1.2563942049722767,0.5285268130453586,0.18848582695594987,4.522003963340346,0.34086021626666874,198,2025-07-08,0.053600101352805955,0.04010933994149268,0.031532385763586766,0.07411669557293926,0.053417155455528526,0.2849998474121094,0.869999885559082,0.6255148924219418,11.710000038146973
ALT,tb_185#0,bo_182#0,182,185,180,2,2.0,2.515198044961559,0.40195137212284765,0.11163102085799197,2.077365811035901,0.2016807268184606,185,2025-06-17,0.0690604135822641,0.12191584453779569,0.06284296283918349,0.07498561242012419,0.06429404875876352,0.3574998378753662,0.47499990463256836,0.442985987363699,6.889999866485596
ALTO,tb_292_296#0,bo_288#0,288,296,284,2,4.0,2.4681606826457227,0.13148234146125945,0.11792447843683775,1.9013951076036437,0.6465517427422351,292,2025-11-18,0.07598575191666777,0.502076520080583,0.08967207292126138,0.11831406398738398,0.06607663941847104,0.12000000476837158,0.19499999284744263,0.13479634189305717,2.0399999618530273
ALTO,tb_292_296#1,bo_289#0,289,296,284,3,1.0,2.198338461338523,0.1406621735328307,0.11792447843683775,1.7773071076024587,0.6724138905545647,292,2025-11-18,0.07598575191666777,0.502076520080583,0.08967207292126138,0.11831406398738398,0.06607663941847104,0.12000000476837158,0.19499999284744263,0.13479634189305717,2.0399999618530273
ALTO,tb_296#0,bo_293#0,293,296,284,4,4.0,1.0226016281616552,0.15398223925113577,0.0995671102903732,1.4936788826558764,0.8448277297258135,296,2025-11-24,0.07611220861640963,0.4790697328847071,0.09308025006154805,0.09313722625689837,0.06727152059198734,0.18999993801116943,0.19000005722045898,0.14463377568828492,2.1500000953674316
ALXO,tb_223_226#1,bo_219#0,219,226,210,3,1.0,1.2890427103855897,0.05350814046222015,0.16527779571436,2.2239610013544717,0.38537549337275245,223,2025-08-12,0.09035818140361951,2.528935261599407,0.08394145949059292,0.0877465578973477,0.08457733701495691,0.050999999046325684,0.0585000216960907,0.052015063070790846,0.6150000095367432
ALXO,tb_233_236#0,bo_227#0,227,236,210,4,8.0,31.15356587330336,0.05360039604572749,0.13793111210615303,3.1343071028771474,0.9189724300237323,233,2025-08-26,0.09404612876340179,0.9716754876593824,0.10729489969322187,0.12737762608459322,0.0828389782985827,0.07199999690055847,0.12350001931190491,0.09112287810347611,1.100000023841858
ALYAF,tb_105_108#1,bo_102#0,102,108,101,2,1.0,7.678713858424726,0.055248290907751754,0.04430382946251475,1.2670084685328404,0.21874998253770128,105,2025-02-21,0.04574106580404954,0.009836030511854638,0.04634511746807178,0.05247459225437075,0.04230702077566892,0.0549999475479126,0.06500005722045898,0.06430667077207437,1.5199999809265137
ALYAF,tb_186#2,bo_183#0,183,186,175,4,1.0,1.1871733966745843,0.06811006086396845,0.02793293485019055,0.7341052361727536,0.2384615948919735,186,2025-06-18,0.044335092645772886,0.10674160689570833,0.033376447207861794,0.0458413230631153,0.04158056844101225,0.04999995231628418,0.07999992370605469,0.0740134106353722,1.7799999713897705
AMBO,tb_231_237#0,bo_227#0,227,237,225,2,2.0,4.5634299138606105,0.3536563990176109,0.21839076553850648,2.686222593183815,0.3571942592579094,231,2025-08-22,0.1262992656285982,0.9037350998598487,0.09467356944795523,0.11437526077674104,0.10850208383787713,0.27500009536743164,0.39250004291534424,0.37758725382532543,3.4800000190734863
AMBP,tb_151_153#0,bo_148#0,148,153,148,1,,6.875096660683754,0.10271625915943135,0.032765451535289064,1.0985649660986136,0.30434779696322534,151,2025-04-29,0.04584662696399813,0.20039459839531237,0.04102717171848999,0.03810114604572225,0.040081773051264084,0.10381308654237742,0.09252901980160932,0.13677065633676838,3.412290573120117
