cell,fold,buy_bars,den,rows,units,symbols,buckets,FP,se_bar,se_row,se_unit,se_sym,se_bucket,deff_sym,med_fr,se_med_fr_sym
ref,2024,16804,10373,5573,3883,1949,7,0.4991,0.0049,0.0106,0.0141,0.0146,0.0303,8.89,0.1763,0.0054
ref,2025,21005,13409,6927,4814,2345,7,0.5396,0.0043,0.0094,0.0126,0.0134,0.0578,9.72,0.1894,0.0059
prod,2024,1865,1041,625,496,387,7,0.5725,0.0153,0.0332,0.0417,0.0429,0.0419,7.84,0.2483,0.022
prod,2025,2312,1434,681,511,403,7,0.5342,0.0132,0.0305,0.0384,0.0405,0.0892,9.45,0.231,0.0237
A,2024,2108,1143,697,545,422,7,0.5783,0.0146,0.031,0.0388,0.04,0.0421,7.5,0.2483,0.0197
A,2025,2605,1636,774,579,461,7,0.5471,0.0123,0.0284,0.0356,0.0375,0.0935,9.28,0.2316,0.0221
C,2024,1748,926,598,488,384,7,0.5886,0.0162,0.0338,0.0408,0.0424,0.0434,6.87,0.249,0.019
C,2025,2111,1303,625,485,392,7,0.5618,0.0137,0.0313,0.0381,0.0403,0.083,8.59,0.2446,0.023
AC,2024,1969,1021,668,536,419,7,0.5955,0.0154,0.0315,0.038,0.0394,0.0433,6.58,0.25,0.018
AC,2025,2403,1506,718,552,450,7,0.573,0.0127,0.0289,0.0354,0.0371,0.0876,8.47,0.2455,0.0226
B,2024,1822,923,490,353,317,7,0.5937,0.0162,0.036,0.0454,0.0454,0.0469,7.9,0.2268,0.0236
B,2025,2033,1234,565,369,326,7,0.5559,0.0141,0.0329,0.0426,0.0441,0.0909,9.72,0.2081,0.0257
chat,2024,141,66,24,21,21,7,0.803,0.049,0.1029,0.1156,0.1156,0.1352,5.57,0.2858,0.1193
chat,2025,118,79,26,20,18,7,0.8608,0.039,0.0587,0.078,0.079,0.0401,4.11,0.3382,0.0776
