base,axis,move,fold,D_base,D_move,keep_ratio,sym_move,diff_pt,se_pt,z,se_formula_pt,kept_minus_removed_pt,se_kr_pt
ref,bo.exceed_threshold,0.003->0.0015,2024,10373,10742,1.036,1980,-0.09,0.3,-0.28,,,
ref,bo.exceed_threshold,0.003->0.0015,2025,13409,13993,1.044,2384,0.49,0.27,1.8,,,
ref,bo.exceed_threshold,0.003->0.0045,2024,10373,9911,0.955,1911,-0.01,0.31,-0.05,,,
ref,bo.exceed_threshold,0.003->0.0045,2025,13409,12816,0.956,2303,-0.09,0.29,-0.29,,,
ref,bo.min_relative_height,0.2->0.1,2024,10373,17722,1.708,2762,-0.6,0.9,-0.66,,,
ref,bo.min_relative_height,0.2->0.1,2025,13409,20030,1.494,3074,0.45,0.73,0.62,,,
ref,bo.min_relative_height,0.2->0.3,2024,10373,6107,0.589,1332,-1.44,1.15,-1.25,,,
ref,bo.min_relative_height,0.2->0.3,2025,13409,8679,0.647,1729,-0.58,0.89,-0.66,,,
ref,burst.gap_max,8->4,2024,10373,8903,0.858,1828,-0.3,0.52,-0.57,,,
ref,burst.gap_max,8->4,2025,13409,11322,0.844,2185,0.0,0.48,0.0,,,
ref,burst.gap_max,8->12,2024,10373,11537,1.112,2032,-0.28,0.4,-0.69,,,
ref,burst.gap_max,8->12,2025,13409,14988,1.118,2442,-0.41,0.34,-1.2,,,
ref,tb.max_rise_k,1.5->0.75,2024,10373,7386,0.712,1903,-0.91,1.01,-0.9,,,
ref,tb.max_rise_k,1.5->0.75,2025,13409,9521,0.71,2308,-1.52,0.93,-1.64,,,
ref,tb.max_rise_k,1.5->2.25,2024,10373,14030,1.353,1962,-0.34,0.8,-0.43,,,
ref,tb.max_rise_k,1.5->2.25,2025,13409,17356,1.294,2360,-0.46,0.6,-0.77,,,
ref,tb.max_span,20->10,2024,10373,8769,0.845,1935,-0.79,0.57,-1.4,,,
ref,tb.max_span,20->10,2025,13409,11388,0.849,2332,-0.28,0.5,-0.55,,,
ref,tb.max_span,20->30,2024,10373,10581,1.02,1949,0.45,0.22,2.01,,,
ref,tb.max_span,20->30,2025,13409,13838,1.032,2346,-0.37,0.3,-1.26,,,
ref,tb.stop_confirm_bars,1->2,2024,10373,9517,0.917,1745,1.16,0.88,1.31,,,
ref,tb.stop_confirm_bars,1->2,2025,13409,12305,0.918,2142,1.11,0.78,1.42,,,
ref,burst.count,1->2,2024,10373,6381,0.615,1564,0.96,0.7,1.38,1.16,2.5,1.81
ref,burst.count,1->2,2025,13409,8543,0.637,1906,-0.55,0.61,-0.91,1.01,-1.52,1.67
ref,burst.distinct_pk,1->3,2024,10373,3369,0.325,929,4.02,1.81,2.23,2.11,5.96,2.68
ref,burst.distinct_pk,1->3,2025,13409,4775,0.356,1129,-0.81,1.59,-0.51,1.8,-1.26,2.46
ref,burst.first_drought,0->40,2024,10373,6041,0.582,1534,1.74,1.23,1.41,1.24,4.16,2.96
ref,burst.first_drought,0->40,2025,13409,7491,0.559,1812,-1.11,1.17,-0.95,1.19,-2.52,2.65
ref,burst.peak_age_max,0->60,2024,10373,5489,0.529,1366,2.36,1.15,2.06,1.38,5.01,2.43
ref,burst.peak_age_max,0->60,2025,13409,6584,0.491,1537,-1.02,1.16,-0.88,1.37,-2.0,2.26
ref,burst.max_bar_vol_ratio,0->3,2024,10373,4301,0.415,1092,0.27,1.63,0.16,1.74,0.45,2.78
ref,burst.max_bar_vol_ratio,0->3,2025,13409,5522,0.412,1260,-2.44,1.5,-1.62,1.6,-4.15,2.55
ref,tb.max_day_drop,None->0.2,2024,10373,9983,0.962,1918,-0.0,0.33,-0.01,0.29,-0.1,8.72
