base,axis,move,z24,z25,same_sign,both_pos,z_int,pooled_pt,pooled_z,n_windows,Q_p,tau_pt
ref,bo.exceed_threshold,0.003->0.0015,-0.28,1.8,False,False,1.44,0.25,1.22,13,0.573,0.0
ref,bo.exceed_threshold,0.003->0.0045,-0.05,-0.29,True,False,-0.19,-0.05,-0.25,13,0.278,0.29
ref,bo.min_relative_height,0.2->0.1,-0.66,0.62,False,False,0.91,-0.18,-0.31,13,0.005,2.14
ref,bo.min_relative_height,0.2->0.3,-1.25,-0.66,True,False,0.59,-0.84,-1.19,13,0.024,2.34
ref,burst.gap_max,8->4,-0.57,0.0,False,False,0.42,-0.15,-0.41,13,0.312,0.41
ref,burst.gap_max,8->12,-0.69,-1.2,True,False,-0.25,-0.35,-1.34,13,0.683,0.0
ref,tb.max_rise_k,1.5->0.75,-0.9,-1.64,True,False,-0.44,-1.26,-1.83,13,0.038,2.01
ref,tb.max_rise_k,1.5->2.25,-0.43,-0.77,True,False,-0.12,-0.45,-0.92,13,0.163,0.99
ref,tb.max_span,20->10,-1.4,-0.55,True,False,0.67,-0.5,-1.33,13,0.67,0.0
ref,tb.max_span,20->30,2.01,-1.26,False,False,-2.2,-0.01,-0.03,13,0.206,0.19
ref,tb.stop_confirm_bars,1->2,1.31,1.42,True,True,-0.04,1.13,1.95,13,0.973,0.0
ref,burst.count,1->2,1.38,-0.91,False,False,-1.63,0.13,0.28,13,0.029,1.46
ref,burst.distinct_pk,1->3,2.23,-0.51,False,False,-2.0,1.28,1.08,13,0.024,3.64
ref,burst.first_drought,0->40,1.41,-0.95,False,False,-1.68,0.12,0.14,13,0.862,0.0
ref,burst.peak_age_max,0->60,2.06,-0.88,False,False,-2.07,0.44,0.55,13,0.876,0.0
ref,burst.max_bar_vol_ratio,0->3,0.16,-1.62,False,False,-1.22,-1.26,-1.15,13,0.278,1.6
ref,tb.max_day_drop,None->0.2,-0.01,2.14,False,False,1.46,0.37,1.63,13,0.097,0.47
prod,bo.exceed_threshold,0.003->0.0015,-0.36,-1.25,True,False,-0.53,-0.7,-1.18,11,0.595,0.0
prod,bo.exceed_threshold,0.003->0.0045,1.87,0.63,True,True,-1.24,1.24,1.78,12,0.34,0.37
prod,bo.min_relative_height,0.2->0.1,-1.28,1.32,False,False,1.82,-0.04,-0.02,13,0.438,0.47
prod,bo.min_relative_height,0.2->0.3,-0.34,-1.8,True,False,-0.92,-4.39,-1.72,13,0.099,5.6
prod,burst.gap_max,8->4,1.43,0.9,True,True,-0.26,3.77,1.6,13,0.162,4.11
prod,burst.gap_max,8->12,-1.81,-0.81,True,False,0.83,-2.45,-1.75,13,0.27,1.95
prod,tb.max_rise_k,1.5->0.75,0.17,-0.33,False,False,-0.36,-0.42,-0.2,13,0.018,6.03
prod,tb.max_rise_k,1.5->2.25,-1.7,0.65,False,False,1.71,-0.77,-0.63,13,0.319,1.27
prod,tb.max_span,20->10,-2.4,-1.22,True,False,0.74,-2.92,-2.32,13,0.034,2.12
prod,tb.max_span,20->30,1.56,-1.0,False,False,-1.84,0.07,0.18,8,0.155,0.52
prod,tb.stop_confirm_bars,1->2,0.33,0.02,True,True,-0.24,0.39,0.23,13,0.639,0.0
prod,burst.count,1->2,-1.72,-0.41,True,False,0.92,-0.71,-1.32,13,0.477,0.0
prod,burst.distinct_pk,3->1,-1.45,-0.36,True,False,0.91,-1.29,-1.19,13,0.048,2.39
prod,burst.distinct_pk,3->5,-0.34,-1.62,True,False,-0.74,-5.38,-1.55,12,0.0,14.05
prod,burst.first_drought,40->0,-1.55,0.17,False,False,1.22,-1.48,-0.77,13,0.234,2.81
prod,burst.first_drought,40->80,-0.32,0.92,False,False,0.94,1.8,0.68,13,0.23,3.17
prod,burst.peak_age_max,60->0,0.74,1.23,True,True,0.55,0.96,1.4,13,0.757,0.0
prod,burst.peak_age_max,60->120,0.6,-0.46,False,False,-0.75,-0.16,-0.08,13,0.733,0.0
prod,burst.max_bar_vol_ratio,3->0,-1.08,-0.74,True,False,0.43,-1.91,-1.23,13,0.507,0.0
prod,burst.max_bar_vol_ratio,3->6,1.02,-0.54,False,False,-1.09,0.5,0.2,13,0.154,3.72
prod,tb.max_day_drop,0.2->None,-0.72,-0.78,True,False,-0.08,-1.33,-1.06,13,0.094,1.77
