S,tau,scen,mode,cv_bias,cv_mean,P_switch,G_gate,G_nogate,dims_kept,rule,G_F,G_S,P_switch_to_worse,report_bias_when_switch,r,split,cv_sd,G_F_gate,G_S_gate,G_F_written,P_write,relax_share_selected,G_F_selected_nogate
S3,0.0,null,A_全数据剪枝,0.7242235156583025,0.7242235156583025,0.22425,0.0,0.0,0.5395,,,,,,,,,,,,,,
S3,0.0,null,B_折内剪枝,-0.010046612889841605,-0.010046612889841605,0.1375,0.0,0.0,0.5395,,,,,,,,,,,,,,
S3,0.0,null,C_不剪枝,-0.03414544455601653,-0.03414544455601653,0.4815,0.0,0.0,12.0,,,,,,,,,,,,,,
S3,0.0,one+3,A_全数据剪枝,1.1576873657187732,3.1459373657187735,0.73225,1.9695,1.98825,1.16875,,,,,,,,,,,,,,
S3,0.0,one+3,B_折内剪枝,-0.817222590097714,1.171027409902286,0.59725,1.6425,1.98825,1.16875,,,,,,,,,,,,,,
S3,0.0,one+3,C_不剪枝,-0.047545548814538756,2.927704451185461,0.7895,2.358,2.97525,12.0,,,,,,,,,,,,,,
S7,0.0,null,,,,0.276,,,,E0_中心=格均值_>δ才换,0.0,0.0,0.0,3.5337879877925684,,,,,,,,,
S7,0.0,null,,,,0.142,,,,E0_中心=0_>δ才换,0.0,0.0,0.0,2.8913665367881736,,,,,,,,,
S7,0.0,null,,,,0.4775,,,,argmax+整年留出>0才换,0.0,0.0,0.0,2.920904180072269,,,,,,,,,
S7,0.0,null,,,,0.99975,,,,argmax 不设门,0.0,0.0,0.0,,,,,,,,,,
S6,0.0,null,,0.13457063962966603,,0.5,,,,pooled,0.0,0.0,,,0.0,i_整年2折,3.572095783407438,0.0,0.0,,,,
S6,0.0,null,,0.13457063962966603,,0.5,,,,worst,0.0,0.0,,,0.0,i_整年2折,3.572095783407438,0.0,0.0,,,,
S6,0.0,null,,0.14764354259247908,,0.484,,,,pooled,0.0,0.0,,,0.0,ii_半年4折_purge,3.6200630941356193,0.0,0.0,,,,
S6,0.0,null,,0.17020367732932118,,0.497,,,,worst,0.0,0.0,,,0.0,ii_半年4折_purge,3.2422642262955823,0.0,0.0,,,,
S6,0.0,null,,-0.1992358374880341,,0.452,,,,pooled,0.0,0.0,,,0.5,i_整年2折,3.2993324343100148,0.0,0.0,,,,
S6,0.0,null,,-0.1992358374880341,,0.452,,,,worst,0.0,0.0,,,0.5,i_整年2折,3.2993324343100148,0.0,0.0,,,,
S6,0.0,null,,-0.2477787440716278,,0.477,,,,pooled,0.0,0.0,,,0.5,ii_半年4折_purge,3.353565244264164,0.0,0.0,,,,
S6,0.0,null,,-0.10271094924155305,,0.466,,,,worst,0.0,0.0,,,0.5,ii_半年4折_purge,3.1295049951181184,0.0,0.0,,,,
S6,0.0,null,,-0.10281160895552549,,0.481,,,,pooled,0.0,0.0,,,1.0,i_整年2折,3.448900071914594,0.0,0.0,,,,
S6,0.0,null,,-0.10281160895552549,,0.481,,,,worst,0.0,0.0,,,1.0,i_整年2折,3.448900071914594,0.0,0.0,,,,
S6,0.0,null,,-0.14655893065811312,,0.468,,,,pooled,0.0,0.0,,,1.0,ii_半年4折_purge,3.5018733922249465,0.0,0.0,,,,
S6,0.0,null,,-0.15304927359531745,,0.459,,,,worst,0.0,0.0,,,1.0,ii_半年4折_purge,3.210409438348992,0.0,0.0,,,,
S7,0.0,one+3,,,,0.6775,,,,E0_中心=格均值_>δ才换,1.77225,1.77225,0.0,2.0034183466564,,,,,,,,,
S7,0.0,one+3,,,,0.5,,,,E0_中心=0_>δ才换,1.4715,1.4715,0.0,0.8045290865584175,,,,,,,,,
S7,0.0,one+3,,,,0.78775,,,,argmax+整年留出>0才换,2.349,2.349,0.0,1.2952234382244903,,,,,,,,,
S7,0.0,one+3,,,,1.0,,,,argmax 不设门,2.97225,2.97225,0.0,,,,,,,,,,
S6,0.0,one+3,,-0.037316436221399775,,0.798,,,,pooled,2.988,2.988,,,0.0,i_整年2折,3.600144745855629,2.391,2.391,,,,
S6,0.0,one+3,,0.03168356377860023,,0.798,,,,worst,2.919,2.919,,,0.0,i_整年2折,3.5822963819052074,2.355,2.355,,,,
S6,0.0,one+3,,0.05206971827480192,,0.802,,,,pooled,2.988,2.988,,,0.0,ii_半年4折_purge,3.564502056837762,2.4,2.4,,,,
S6,0.0,one+3,,-0.0880978680347588,,0.798,,,,worst,2.829,2.829,,,0.0,ii_半年4折_purge,3.289168593251004,2.304,2.304,,,,
S6,0.0,one+3,,-0.13089698272537567,,0.787,,,,pooled,2.967,2.967,,,0.5,i_整年2折,3.741901119205348,2.355,2.355,,,,
S6,0.0,one+3,,-0.09189698272537566,,0.787,,,,worst,2.928,2.928,,,0.5,i_整年2折,3.7303330158675303,2.334,2.334,,,,
S6,0.0,one+3,,0.008340720928319377,,0.784,,,,pooled,2.967,2.967,,,0.5,ii_半年4折_purge,3.736627876614654,2.34,2.34,,,,
S6,0.0,one+3,,-0.03682990357822633,,0.788,,,,worst,2.82,2.82,,,0.5,ii_半年4折_purge,3.385003561819292,2.259,2.259,,,,
S6,0.0,one+3,,-0.11025803111384094,,0.782,,,,pooled,2.967,2.967,,,1.0,i_整年2折,3.558914883061756,2.34,2.34,,,,
S6,0.0,one+3,,-0.04425803111384095,,0.782,,,,worst,2.901,2.901,,,1.0,i_整年2折,3.57038962229715,2.292,2.292,,,,
S6,0.0,one+3,,0.06378563467566316,,0.802,,,,pooled,2.967,2.967,,,1.0,ii_半年4折_purge,3.677368007565373,2.397,2.397,,,,
S6,0.0,one+3,,-0.031826364224786595,,0.802,,,,worst,2.793,2.793,,,1.0,ii_半年4折_purge,3.321881092969516,2.301,2.301,,,,
S7,0.0,nearopt,,,,0.0275,,,,E0_中心=格均值_>δ才换,-0.029798927362396612,-0.029798927362396612,0.0275,4.005571917621162,,,,,,,,,
S7,0.0,nearopt,,,,0.125,,,,E0_中心=0_>δ才换,-0.15386478676768603,-0.15386478676768603,0.125,3.9432752287428827,,,,,,,,,
S7,0.0,nearopt,,,,0.18875,,,,argmax+整年留出>0才换,-0.41036707410626777,-0.41036707410626777,0.18875,3.7215141741526456,,,,,,,,,
S7,0.0,nearopt,,,,0.982,,,,argmax 不设门,-1.806970019816009,-1.806970019816009,0.982,,,,,,,,,,
S6,0.0,nearopt,,-0.5610406100582074,,0.191,,,,pooled,-1.8282252032360333,-1.8282252032360333,,,0.0,i_整年2折,3.33427154957194,-0.4481389724700304,-0.4481389724700304,,,,
