S,tau,scen,rule,G_F,G_S,P_switch,P_switch_to_worse,report_bias_when_switch
S7,0.0,null,argmax 不设门,0.0,0.0,0.99975,0.0,
S7,0.0,null,argmax+整年留出>0才换,0.0,0.0,0.4935,0.0,2.7551124748126323
S7,0.0,null,ρ收缩(中心=格均值) >δ才换,0.0,0.0,0.28475,0.0,3.509914548315311
S7,0.0,null,ρ收缩(中心=0) >δ才换,0.0,0.0,0.13975,0.0,2.9154457179427657
S7,0.0,null,尖峰加平板 >δ才换,0.0,0.0,0.15675,0.0,4.032767560935697
S7,0.0,null,ρ收缩(中心=0)排序+整年留出>0才换,0.0,0.0,0.4935,0.0,1.306764944064718
S7,0.0,null,尖峰加平板排序+整年留出>0才换,0.0,0.0,0.4935,0.0,1.3204934281213745
S7,0.0,null,argmax+整年留出>0才换 +前向窗(SE2.7),0.0,0.0,0.04725,0.0,
S7,0.0,null,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),0.0,0.0,0.016,0.0,
S7,0.0,null,尖峰加平板 >δ才换 +前向窗(SE2.7),0.0,0.0,0.01775,0.0,
S7,0.0,null,尖峰加平板排序+整年留出>0才换 +前向窗(SE2.7),0.0,0.0,0.07225,0.0,
S7,0.0,one+3,argmax 不设门,2.97825,2.97825,1.0,0.0,
S7,0.0,one+3,argmax+整年留出>0才换,2.34975,2.34975,0.786,0.0,1.2640192564907493
S7,0.0,one+3,ρ收缩(中心=格均值) >δ才换,1.79775,1.79775,0.68025,0.0,1.9593863667822755
S7,0.0,one+3,ρ收缩(中心=0) >δ才换,1.485,1.485,0.503,0.0,0.8333488588196835
S7,0.0,one+3,尖峰加平板 >δ才换,1.359,1.359,0.457,0.0,2.3371807740737265
S7,0.0,one+3,ρ收缩(中心=0)排序+整年留出>0才换,1.97625,1.97625,0.786,0.0,0.16233669301903808
S7,0.0,one+3,尖峰加平板排序+整年留出>0才换,2.169,2.169,0.786,0.0,0.4379957901780862
S7,0.0,one+3,argmax+整年留出>0才换 +前向窗(SE2.7),0.426,0.426,0.14225,0.0,
S7,0.0,one+3,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),0.483,0.483,0.162,0.0,
S7,0.0,one+3,尖峰加平板 >δ才换 +前向窗(SE2.7),0.35775,0.35775,0.12075,0.0,
S7,0.0,one+3,尖峰加平板排序+整年留出>0才换 +前向窗(SE2.7),0.7575,0.7575,0.264,0.0,
S7,0.0,two+3,argmax 不设门,5.94,5.94,1.0,0.0,
S7,0.0,two+3,argmax+整年留出>0才换,5.5785,5.5785,0.9375,0.0,0.26474702677552175
S7,0.0,two+3,ρ收缩(中心=格均值) >δ才换,4.845,4.845,0.89825,0.0,0.8180536174584292
S7,0.0,two+3,ρ收缩(中心=0) >δ才换,4.3005,4.3005,0.76275,0.0,-0.7787454773969298
S7,0.0,two+3,尖峰加平板 >δ才换,4.44375,4.44375,0.768,0.0,1.1806695771843858
S7,0.0,two+3,ρ收缩(中心=0)排序+整年留出>0才换,4.73925,4.73925,0.9375,0.0,-0.9827863210314075
S7,0.0,two+3,尖峰加平板排序+整年留出>0才换,5.0685,5.0685,0.9375,0.0,0.37130272789406116
S7,0.0,two+3,argmax+整年留出>0才换 +前向窗(SE2.7),1.701,1.701,0.285,0.0,
S7,0.0,two+3,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),2.08725,2.08725,0.36475,0.0,
S7,0.0,two+3,尖峰加平板 >δ才换 +前向窗(SE2.7),1.83225,1.83225,0.31525,0.0,
S7,0.0,two+3,尖峰加平板排序+整年留出>0才换 +前向窗(SE2.7),2.196,2.196,0.40675,0.0,
S7,0.0,nearopt,argmax 不设门,-1.8082870950844294,-1.8082870950844294,0.98525,0.98525,
S7,0.0,nearopt,argmax+整年留出>0才换,-0.4225876163064868,-0.4225876163064868,0.193,0.193,3.8546613251115143
S7,0.0,nearopt,ρ收缩(中心=格均值) >δ才换,-0.039650822967565606,-0.039650822967565606,0.03825,0.03825,3.8380694622182667
S7,0.0,nearopt,ρ收缩(中心=0) >δ才换,-0.17221033619418002,-0.17221033619418002,0.14525,0.14525,3.9352522114643516
S7,0.0,nearopt,尖峰加平板 >δ才换,-0.4872875454218212,-0.4872875454218212,0.3365,0.3365,4.309220115627508
S7,0.0,nearopt,ρ收缩(中心=0)排序+整年留出>0才换,-0.22789964452297268,-0.22789964452297268,0.193,0.193,3.316323222232225
S7,0.0,nearopt,尖峰加平板排序+整年留出>0才换,-0.24310974012278355,-0.24310974012278355,0.193,0.193,3.532972798927712
S7,0.0,nearopt,argmax+整年留出>0才换 +前向窗(SE2.7),-0.020939470641140913,-0.020939470641140913,0.01,0.01,
S7,0.0,nearopt,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),-0.012070734367020693,-0.012070734367020693,0.01075,0.01075,
S7,0.0,nearopt,尖峰加平板 >δ才换 +前向窗(SE2.7),-0.023977541883024964,-0.023977541883024964,0.022,0.022,
S7,0.0,nearopt,尖峰加平板排序+整年留出>0才换 +前向窗(SE2.7),-0.019953674796174575,-0.019953674796174575,0.02025,0.02025,
S7,0.9,null,argmax 不设门,-0.03266107740753336,0.0,0.999,0.0,
S7,0.9,null,argmax+整年留出>0才换,-0.0028428321676019124,0.0,0.496,0.0,3.3044873320160897
S7,0.9,null,ρ收缩(中心=格均值) >δ才换,-0.010096044083031172,0.0,0.35,0.0,3.9481769211388045
S7,0.9,null,ρ收缩(中心=0) >δ才换,-0.014434768199313467,0.0,0.21625,0.0,3.379997747200792
S7,0.9,null,尖峰加平板 >δ才换,-0.008917101921201565,0.0,0.278,0.0,4.407766224173913
S7,0.9,null,ρ收缩(中心=0)排序+整年留出>0才换,-0.012631487905181784,0.0,0.496,0.0,1.8060172680658704
S7,0.9,null,尖峰加平板排序+整年留出>0才换,-0.005002303636682056,0.0,0.496,0.0,2.3257131377880755
S7,0.9,null,argmax+整年留出>0才换 +前向窗(SE2.7),0.0035428774249331406,0.0,0.05125,0.0,
S7,0.9,null,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),-0.00043216770980040054,0.0,0.02925,0.0,
S7,0.9,null,尖峰加平板 >δ才换 +前向窗(SE2.7),0.0019005929024260265,0.0,0.031,0.0,
S7,0.9,null,尖峰加平板排序+整年留出>0才换 +前向窗(SE2.7),-0.0024578949110992763,0.0,0.0685,0.0,
S7,0.9,one+3,argmax 不设门,2.931171238440367,2.9415,1.0,0.0,
S7,0.9,one+3,argmax+整年留出>0才换,2.209727033069339,2.208,0.74425,0.0,1.4458940223022938
S7,0.9,one+3,ρ收缩(中心=格均值) >δ才换,1.6822852292729649,1.66575,0.6685,0.0,2.4187147866350704
S7,0.9,one+3,ρ收缩(中心=0) >δ才换,1.4455298704381403,1.434,0.496,0.0,1.2181417927989278
S7,0.9,one+3,尖峰加平板 >δ才换,1.6176101871536468,1.62525,0.56,0.0,2.730231353378962
S7,0.9,one+3,ρ收缩(中心=0)排序+整年留出>0才换,1.765904636407127,1.764,0.74425,0.0,0.5725566527178617
S7,0.9,one+3,尖峰加平板排序+整年留出>0才换,2.015716043519629,2.02275,0.74425,0.0,1.4787210582208403
S7,0.9,one+3,argmax+整年留出>0才换 +前向窗(SE2.7),0.4266065687285596,0.426,0.143,0.0,
S7,0.9,one+3,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),0.44763094611437587,0.43725,0.148,0.0,
